Rank,Year,Points
1873,2002,510
1874,1996,509
1875,2006,509
1876,2017,509
1877,2013,509
1878,2017,509
1879,2015,509
1880,2011,509
1881,2018,508
1882,2016,508
1883,2017,508
1884,2013,508
1885,2011,508
1886,2017,507
1887,2015,507
1888,2001,507
1889,2022,507
1890,2009,507
1891,2018,506
1892,2017,506
1893,2018,506
1894,2018,506
1895,2018,506
1896,2014,505
1897,2010,505
1898,2014,505
1899,2008,505
1900,2008,505
1901,2014,505
1902,2022,504
1903,2010,504
1904,2011,504
1905,2008,503
1906,2013,503
1907,2007,503
1908,2007,503
1909,1998,503
1910,2015,503
1911,2015,503
1912,2003,502
1913,2011,502
1914,2016,502
1915,2019,502
1916,2010,502
1917,2019,502
1918,2017,502
1919,2016,502
1920,2018,502
1921,2014,502
1922,2006,502
1923,2009,502
1924,2012,501
1925,2009,501
1926,2019,501
1927,2018,501
1928,2012,501
1929,2005,501
1930,2007,501
1931,2002,500
1932,2001,500
1933,2011,500
1934,2012,500
1935,2016,500
1936,2021,500
1937,2002,500
1938,1996,499
1939,2018,499
1940,2015,499
1941,2009,499
1942,2004,499
1943,2002,499
1944,1995,499
1945,2019,499
1946,2009,499
1947,2014,499
1948,2010,499
1949,2012,499
1950,2014,498
1951,2014,498
1952,2003,498
1953,2011,498
1954,2014,498
1955,2016,498
1956,2007,498
1957,2016,498
1958,2016,498
1959,2003,498
1960,2021,498
1961,2016,498
1962,2009,497
1963,2017,497
1964,2012,497
1965,2005,497
1966,2008,497
1967,2008,497
1968,2007,496
1969,2014,496
1970,2010,496
1971,2019,496
1972,2018,496
1973,2018,496
1974,2005,496
1975,2018,496
1976,2015,495
1977,2011,495
1978,2017,495
1979,2022,495
1980,2008,495
1981,2013,494
1982,2011,494
1983,2019,494
1984,2017,494
1985,2018,494
1986,2022,494
1987,2018,494
1988,2007,494
1989,2007,494
1990,2005,494
1991,2009,494
1992,2006,493
1993,2017,493
1994,2012,493
1995,2012,493
1996,2012,493
1997,2018,493
1998,2017,493
1999,2017,493
2000,2002,493
2001,2005,493
2002,1997,492
2003,2013,492
2004,2019,492
2005,2022,492
2006,2005,492
2007,2021,492
2008,2015,492
2009,2009,492
2010,2012,492
2011,2014,492
2012,2017,492
2013,2015,491
2014,2017,491
2015,2012,491
2016,2014,491
2017,2000,491
2018,2013,491
2019,2019,491
2020,2013,491
2021,2008,491
2022,2016,491
2023,2005,491
2024,2008,491
2025,2013,491
2026,2018,490
2027,2010,490
2028,2022,490
2029,2002,490
2030,2010,490
2031,2021,490
2032,2017,490
2033,2018,489
2034,2015,489
2035,1994,489
2036,2015,489
2037,2021,488
2038,2017,488
2039,2018,488
2040,2014,488
2041,2011,488
2042,2010,488
2043,2013,488
2044,1997,487
2045,2014,487
2046,2011,487
2047,2006,487
2048,2012,487
2049,2000,487
2050,2018,486
2051,2019,486
2052,2019,486
2053,2013,486
2054,2016,486
2055,2010,486
2056,2002,485
2057,2007,485
2058,2013,485
2059,2017,484
2060,2019,484
2061,2019,484
2062,2019,484
2063,2022,484
2064,2013,484
2065,2003,484
2066,2014,484
2067,2003,484
2068,2015,484
2069,2003,484
2070,2016,483
2071,2012,483
2072,2011,483
2073,1996,483
2074,1997,483
2075,2011,483
2076,2004,482
2077,2010,482
2078,2018,482
2079,2010,482
2080,2018,482
2081,2007,482
2082,2017,482
2083,2022,482
2084,2014,482
2085,2015,482
2086,2017,482
2087,2003,481
2088,1999,481
2089,2004,481
2090,2012,481
2091,2000,481
2092,2013,481
2093,2002,481
2094,2017,481
2095,2019,481
2096,2015,481
2097,2005,480
2098,2016,480
2099,2011,480
2100,2012,480
2101,2011,480
2102,2018,480
2103,2013,480
2104,2016,480
2105,2021,480
2106,2008,480
2107,2012,479
2108,1999,479
2109,2015,479
2110,2002,479
2111,2010,479
2112,2017,479
2113,2012,479
2114,2004,479
2115,2022,479
2116,2009,478
2117,2008,478
2118,2012,478
2119,2009,478
2120,2008,478
2121,2009,478
2122,2011,478
2123,2013,477
2124,2003,477
2125,2018,477
2126,2012,477
2127,2008,477
2128,2009,477
2129,2012,477
2130,2013,477
2131,2009,476
2132,2019,476
2133,2011,476
2134,2009,476
2135,2017,476
2136,2007,476
2137,2013,476
2138,2011,476
2139,2007,476
2140,2014,476
2141,2010,476
2142,2008,476
2143,2005,476
2144,2015,476
2145,2019,476
2146,2004,476
2147,2007,476
2148,2019,476
2149,2010,475
2150,1999,475
2151,2009,474
2152,2009,474
2153,2011,474
2154,2010,474
2155,2014,474
2156,2012,474
2157,2021,474
2158,2016,474
2159,2018,474
2160,2011,474
2161,2012,473
2162,2022,473
2163,2016,473
2164,2007,473
2165,2012,473
2166,2019,473
2167,2017,473
2168,2013,472
2169,2017,472
2170,2012,472
2171,2016,472
2172,2010,472
2173,2018,472
2174,2014,472
2175,2003,472
2176,2019,472
2177,2007,472
2178,2013,472
2179,2011,472
2180,2019,472
2181,2018,471
2182,2006,471
2183,2006,471
2184,2013,471
2185,2018,471
2186,2022,471
2187,2013,471
2188,2010,471
2189,2016,471
2190,2013,470
2191,2013,470
2192,1999,470
2193,2019,470
2194,2021,469
2195,2014,469
2196,2020,469
2197,2006,469
2198,2019,469
2199,2015,469
2200,2017,469
2201,2018,468
2202,2012,468
2203,2018,468
2204,2004,468
2205,2017,468
2206,2018,468
2207,2008,468
2208,1995,468
2209,2009,468
2210,2018,468
2211,2006,467
2212,2008,467
2213,2006,467
2214,2019,467
2215,2016,467
2216,2017,467
2217,2019,467
2218,2012,466
2219,2009,466
2220,2015,466
2221,2018,466
2222,2021,466
2223,2018,465
2224,2014,465
2225,2019,465
2226,2013,465
2227,1992,465
2228,2016,465
2229,2001,465
2230,2009,465
2231,2019,465
2232,2003,465
2233,2017,465
2234,2019,464
2235,2008,464
2236,1999,464
2237,2019,464
2238,1997,464
2239,1998,464
2240,2018,463
2241,2008,463
2242,2004,463
2243,2022,463
2244,2012,463
2245,2012,463
2246,2013,462
2247,1997,462
2248,2014,462
2249,2017,462
2250,2022,462
2251,2017,462
2252,1995,461
2253,2006,461
2254,2006,461
2255,1997,461
2256,2015,461
2257,2010,461
2258,2013,460
2259,2018,460
2260,2022,460
2261,2018,460
2262,1994,460
2263,2017,460
2264,2005,460
2265,2018,460
2266,2010,460
2267,2010,460
2268,1998,459
2269,2019,459
2270,2008,459
2271,2019,459
2272,2011,459
2273,2015,459
2274,2005,459
2275,2015,459
2276,2019,459
2277,2014,459
2278,2009,458
2279,2008,458
2280,2019,458
2281,2001,458
2282,2010,458
2283,2013,458
2284,2005,458
2285,2007,458
2286,2017,458
2287,2014,458
2288,2003,458
2289,2022,457
2290,2019,457
2291,2011,457
2292,2009,457
2293,2015,456
2294,2001,456
2295,2008,456
2296,2018,456
2297,2014,456
2298,2002,456
2299,2007,455
2300,2003,455
2301,2008,455
2302,2016,455
2303,2010,454
2304,2017,454
2305,2013,454
2306,2010,454
2307,2017,454
2308,2018,454
2309,2010,454
2310,2019,454
2311,2010,454
2312,2016,454
2313,2008,454
2314,2008,454
2315,2004,453
2316,2021,453
2317,2012,453
2318,2009,453
2319,2015,453
2320,2013,452
2321,2017,452
2322,2006,452
2323,2015,452
2324,2008,452
2325,2012,452
2326,2007,452
2327,2012,452
2328,2005,452
2329,2018,452
2330,2004,452
2331,2004,452
2332,2013,451
2333,2018,451
2334,2014,451
2335,2011,451
2336,2003,451
2337,1992,451
2338,2019,451
2339,2013,451
2340,2019,450
2341,2013,450
2342,2007,450
2343,2003,450
2344,2010,450
2345,2021,450
2346,2018,450
2347,2011,450
2348,2009,449
2349,2012,449
2350,2017,449
2351,2022,449
2352,1996,449
2353,2011,449
2354,2022,448
2355,2011,448
2356,2019,448
2357,2003,448
2358,2002,448
2359,1996,448
2360,2012,448
2361,2008,448
2362,2008,447
2363,2016,447
2364,2021,447
2365,1994,447
2366,2009,447
2367,2011,447
2368,2013,447
2369,2008,447
2370,2008,447
2371,2012,447
2372,2014,446
2373,2011,446
2374,2017,446
2375,2016,445
2376,2015,445
2377,1997,445
2378,2017,445
2379,2017,445
2380,2019,444
2381,2022,444
2382,2006,444
2383,2017,444
2384,2009,444
2385,2017,444
2386,2011,444
2387,2005,444
2388,1999,444
2389,2007,444
2390,2018,444
2391,2011,443
2392,2016,443
2393,2004,443
2394,2001,443
2395,1998,443
2396,2011,443
2397,2012,443
2398,2011,443
2399,2019,443
2400,2005,443
2401,2010,443
2402,2012,442
2403,2012,442
2404,2002,442
2405,2010,442
2406,2005,442
2407,2013,442
2408,2015,442
2409,1995,441
2410,2013,441
2411,2012,441
2412,2014,441
2413,2016,441
2414,2008,441
2415,2016,441
2416,2010,441
2417,2017,441
2418,2000,440
2419,2016,440
2420,2011,440
2421,2019,440
2422,2016,439
2423,2019,439
2424,2019,439
2425,2003,439
2426,2006,439
2427,2003,439
2428,2019,439
2429,2014,438
2430,2017,438
2431,2019,438
2432,2000,438
2433,2003,438
2434,2014,438
2435,2005,438
2436,2014,438
2437,2014,438
2438,2011,438
2439,2022,438
2440,2007,437
2441,2010,437
2442,2015,437
2443,2011,437
2444,2014,437
2445,2019,437
2446,2008,437
2447,2008,436
2448,2000,436
2449,2012,436
2450,2017,436
2451,1998,436
2452,2004,436
2453,2013,436
2454,2012,436
2455,2010,435
2456,2011,435
2457,2004,435
2458,2005,435
2459,2018,435
2460,2019,435
2461,2018,435
2462,2011,434
2463,2013,434
2464,1998,434
2465,2013,434
2466,2004,434
2467,2003,434
2468,2006,434
2469,2013,434
2470,2022,434
2471,1994,434
2472,2010,434
2473,2017,433
2474,2006,433
2475,2012,433
2476,2005,433
2477,2017,433
2478,2005,433
2479,2009,433
2480,2010,433
2481,2005,432
2482,2012,432
2483,2015,432
2484,2022,432
2485,2016,432
2486,2012,432
2487,1998,432
2488,2008,432
2489,2022,432
2490,1998,432
2491,1996,432
2492,2008,431
2493,2011,431
2494,1992,431
2495,2011,431
2496,2002,431
2497,2022,431
2498,2002,431
2499,2008,431
2500,2011,431
2501,2013,430
2502,2016,430
2503,2004,430
2504,2015,430
2505,2017,430
2506,2001,430
2507,2017,430
2508,2004,430
2509,2017,430
2510,2012,430
2511,2018,430
2512,2008,430
2513,2010,430
2514,2005,429
2515,1998,429
2516,2014,429
2517,2021,429
2518,2016,429
2519,1997,429
2520,2008,429
2521,2007,428
2522,2009,428
2523,1997,428
2524,2007,428
2525,2017,428
2526,2018,428
2527,2021,428
2528,2015,428
2529,2008,428
2530,2022,427
2531,2001,427
2532,2012,427
2533,2010,427
2534,2019,427
2535,1994,426
2536,2010,426
2537,2005,426
2538,2018,426
2539,2019,426
2540,2016,426
2541,2018,426
2542,2022,426
2543,2012,425
2544,2005,425
2545,2014,425
2546,2001,425
2547,1997,425
2548,2007,425
2549,2004,424
2550,2011,424
2551,2007,424
2552,2000,424
2553,2019,424
2554,2007,424
2555,2005,424
2556,2017,424
2557,2017,423
2558,2022,423
2559,2006,423
2560,2007,423
2561,2016,423
2562,2017,423
2563,2019,423
2564,2005,423
2565,1999,423
2566,2007,422
2567,2016,422
2568,2015,422
2569,2001,422
2570,2021,422
2571,2021,422
2572,2009,422
2573,2014,422
2574,2008,422
2575,2019,422
2576,1998,422
2577,2006,422
2578,2016,421
2579,2012,421
2580,2019,421
2581,2010,421
2582,2007,421
2583,2005,421
2584,1997,421
2585,2001,420
2586,1999,420
2587,2003,420
2588,2009,420
2589,2012,420
2590,2004,419
2591,2008,419
2592,2017,419
2593,2008,419
2594,2002,419
2595,2011,419
2596,2009,419
2597,2016,419
2598,2006,418
2599,2016,418
2600,2007,418
2601,2014,418
2602,2013,418
2603,2014,418
2604,2010,418
2605,2011,418
2606,2011,417
2607,2017,417
2608,2009,417
2609,2019,417
2610,2012,417
2611,2016,417
2612,2011,417
2613,2009,417
2614,1994,417
2615,2006,416
2616,2012,416
2617,2019,416
2618,2011,416
2619,1994,416
2620,2013,416
2621,2019,416
2622,2015,416
2623,2009,416
2624,2019,416
2625,2015,416
2626,2015,415
2627,2005,415
2628,2016,415
2629,2019,415
2630,2011,415
2631,2016,415
2632,2011,415
2633,2019,415
2634,2019,415
2635,2015,415
2636,2018,414
2637,2011,414
2638,2008,414
2639,1996,414
2640,2014,414
2641,2011,414
2642,1992,414
2643,2015,414
2644,2018,414
2645,2014,414
2646,2007,414
2647,2003,414
2648,2013,414
2649,2007,413
2650,2013,413
2651,2003,413
2652,2004,413
2653,2018,413
2654,2022,413
2655,2010,413
2656,2010,413
2657,2018,413
2658,2011,413
2659,2011,413
2660,2004,413
2661,2012,413
2662,2014,412
2663,2005,412
2664,2010,412
2665,2002,412
2666,2013,412
2667,2007,412
2668,2013,412
2669,2014,411
2670,2015,411
2671,2009,411
2672,2006,410
2673,2005,410
2674,2013,410
2675,2008,410
2676,2018,410
2677,2012,410
2678,2008,410
2679,2011,410
2680,2022,410
2681,2017,410
2682,2014,410
2683,2018,410
2684,2019,410
2685,2016,410
2686,2003,410
2687,2007,410
2688,2007,410
2689,2011,409
2690,2019,409
2691,2018,409
2692,2018,409
2693,2015,409
2694,2004,409
2695,2019,409
2696,2004,409
2697,2004,409
2698,2018,408
2699,2016,408
2700,2009,408
2701,2010,408
2702,1992,408
2703,2010,408
2704,2013,408
2705,2008,408
2706,2010,408
2707,2019,408
2708,2014,408
2709,2019,407
2710,1999,407
2711,2003,407
2712,2018,407
2713,2002,407
2714,2006,407
2715,2017,407
2716,2021,407
2717,2016,407
2718,2013,407
2719,2019,406
2720,2008,406
2721,2018,406
2722,2011,406
2723,2016,406
2724,2016,406
2725,2019,406
2726,2008,406
2727,2019,405
2728,2007,405
2729,2010,405
2730,2016,405
2731,2016,405
2732,2005,405
2733,2018,405
2734,2016,405
2735,2015,405
2736,2014,405
2737,2013,405
2738,2019,404
2739,2017,404
2740,2012,404
2741,2019,404
2742,2013,404
2743,2003,404
2744,2006,404
2745,2017,404
2746,2011,403
2747,2015,403
2748,2016,403
2749,1994,403
2750,2019,403
2751,2019,403
2752,1998,402
2753,2013,402
2754,2013,402
2755,1997,402
2756,2010,402
2757,2010,402
2758,2019,402
2759,2018,402
2760,2006,402
2761,2017,402
2762,2016,402
2763,2016,402
2764,2011,402
2765,2002,401
2766,2019,401
2767,2017,401
2768,1994,401
2769,2012,401
2770,2018,401
2771,2006,401
2772,2006,400
2773,2009,400
2774,2017,400
2775,2013,400
2776,1998,400
2777,2012,400
2778,2009,400
2779,2003,400
2780,2006,400
2781,2019,400
2782,2017,399
2783,2004,399
2784,2011,399
2785,2005,399
2786,2009,398
2787,2010,398
2788,2015,398
2789,2011,398
2790,1999,398
2791,2018,398
2792,2014,398
2793,2013,398
2794,2007,398
2795,2012,398
2796,1998,397
2797,2015,397
2798,2014,397
2799,2010,397
2800,1996,397
2801,2004,397
2802,2006,397
2803,1994,397
2804,2013,397
2805,2013,397
2806,1994,397
2807,2011,397
2808,2012,396
2809,2014,396
2810,2021,396
2811,2019,396
2812,2011,396
2813,2009,396
2814,1999,396
2815,2005,396
2816,2017,396
2817,2009,396
2818,1994,396
2819,2002,395
2820,1998,395
2821,2015,395
2822,2009,395
2823,2013,395
2824,1996,395
2825,2022,394
2826,2013,394
2827,2019,394
2828,2000,394
2829,2012,394
2830,1998,394
2831,2006,394
2832,2019,393
2833,2017,393
2834,2022,393
2835,2005,393
2836,2006,393
2837,2017,393
2838,2003,393
2839,2004,393
2840,2003,393
2841,2016,393
2842,2013,393
2843,2000,393
2844,2017,393
2845,2015,392
2846,2008,392
2847,2018,392
2848,2012,392
2849,2011,392
2850,2017,392
2851,2007,392
2852,2022,392
2853,2009,392
2854,2011,391
2855,2019,391
2856,2011,391
2857,2005,391
2858,2018,391
2859,2010,391
2860,2019,391
2861,2004,391
2862,2013,391
2863,2003,391
2864,2019,390
2865,2011,390
2866,2009,390
2867,2012,390
2868,2019,390
2869,2007,390
2870,1998,390
2871,2013,390
2872,2017,390
2873,2012,390
2874,1999,390
2875,2011,390
2876,2009,390
2877,2022,389
2878,2013,389
2879,2016,389
2880,2003,389
2881,2006,388
2882,2018,388
2883,2014,388
2884,1994,388
2885,2000,388
2886,2014,388
2887,2011,388
2888,2012,387
2889,1998,387
2890,2000,387
2891,2008,387
2892,2013,387
2893,2012,387
2894,2015,387
2895,2015,386
2896,2009,386
2897,1999,386
2898,2003,386
2899,1999,386
2900,2003,386
2901,2022,386
2902,2016,386
2903,2012,386
2904,2013,386
2905,2005,386
2906,2018,385
2907,2015,385
2908,1996,384
2909,2017,384
2910,2014,384
2911,2007,384
2912,2010,384
2913,2014,384
2914,2011,384
2915,2005,383
2916,2016,383
2917,2022,383
2918,2002,383
2919,2013,383
2920,2010,382
2921,2013,382
2922,2016,382
2923,2000,382
2924,2014,382
2925,2022,382
2926,2012,382
2927,2016,382
2928,2001,382
2929,2017,382
2930,2018,382
2931,2018,382
2932,2009,382
2933,2009,381
2934,2017,381
2935,2011,381
2936,2018,381
2937,2011,381
2938,2011,381
2939,2008,381
2940,2015,381
2941,2006,381
2942,2018,381
2943,2012,381
2944,2017,380
2945,2018,380
2946,2005,380
2947,2012,380
2948,2012,380
2949,2017,380
2950,2004,380
2951,2004,380
2952,2013,380
2953,2018,380
2954,2013,380
2955,2012,380
2956,2019,380
2957,2011,379
2958,2010,379
2959,2019,379
2960,2018,379
2961,2019,379
2962,1995,378
2963,2008,378
2964,2012,378
2965,2007,378
2966,2019,378
2967,2014,378
2968,2005,378
2969,2017,378
2970,2012,377
2971,2009,377
2972,2019,377
2973,2017,377
2974,2007,377
2975,2009,377
2976,2001,377
2977,2001,377
2978,2019,377
2979,2004,377
2980,2008,377
2981,2002,376
2982,2014,376
2983,2004,376
2984,2009,376
2985,2018,376
2986,2012,376
2987,2007,376
2988,2016,376
2989,2008,376
2990,2013,376
2991,2018,376
2992,2018,376
2993,2017,376
2994,2015,376
2995,2013,376
2996,2004,375
2997,2007,375
2998,2001,375
2999,2011,375
3000,2002,375
3001,2004,375
3002,2022,375
3003,2014,375
3004,1996,375
3005,2019,375
3006,2008,375
3007,2013,374
3008,2007,374
3009,2007,374
3010,2018,374
3011,2010,374
3012,1998,374
3013,2009,374
3014,2016,374
3015,2018,374
3016,2016,374
3017,2001,373
3018,2001,373
3019,2017,373
3020,2008,373
3021,2017,372
3022,2004,372
3023,2008,372
3024,2014,372
3025,2019,372
3026,2022,372
3027,2016,372
3028,2008,372
3029,1995,371
3030,2013,371
3031,2010,371
3032,2010,371
3033,2007,371
3034,2002,371
3035,2017,370
3036,2007,370
3037,2019,370
3038,2005,370
3039,2015,370
3040,2004,370
3041,2006,370
3042,2006,370
3043,2005,369
3044,2016,369
3045,2018,369
3046,2001,369
3047,2011,369
3048,2011,369
3049,2014,369
3050,2017,369
3051,2015,369
3052,2000,369
3053,2022,368
3054,2013,368
3055,2015,368
3056,2012,368
3057,2002,368
3058,2021,368
3059,2015,368
3060,1996,367
3061,1995,367
3062,2004,367
3063,2011,367
3064,1994,367
3065,2005,367
3066,2010,367
3067,2015,367
3068,2003,367
3069,2019,367
3070,2015,367
3071,2016,366
3072,2019,366
3073,2009,366
3074,2014,366
3075,1994,366
3076,2015,366
3077,2019,366
3078,2005,366
3079,2016,366
3080,2003,366
3081,2013,366
3082,2016,366
3083,2000,366
3084,2014,366
3085,2011,366
3086,2007,365
3087,2010,365
3088,2017,365
3089,2015,365
3090,2018,365
3091,2011,365
3092,2007,365
3093,2010,365
3094,2018,364
3095,2013,364
3096,2015,364
3097,2010,364
3098,2003,364
3099,2016,364
3100,2019,364
3101,2015,363
3102,2010,363
3103,2019,363
3104,2008,363
3105,2003,363
3106,2013,363
3107,2009,362
3108,2014,362
3109,2011,362
3110,2015,362
3111,2017,362
3112,2004,362
3113,2014,362
3114,2022,362
3115,2015,362
3116,2010,362
3117,2022,362
3118,2008,361
3119,2014,361
3120,2018,361
3121,2013,361
3122,2019,361
3123,2006,361
3124,2005,361
3125,2008,361
3126,2002,360
3127,2007,360
3128,2011,360
3129,2009,360
3130,2013,359
3131,2013,359
3132,2015,359
3133,2010,359
3134,2008,359
3135,2016,359
3136,2015,359
3137,2019,358
3138,2011,358
3139,2009,358
3140,1999,358
3141,1996,358
3142,2014,358
3143,2010,358
3144,2017,358
3145,2002,358
3146,2021,357
3147,2007,357
3148,2009,357
3149,1995,357
3150,2014,357
3151,2006,357
3152,2006,357
3153,2005,356
3154,2016,356
3155,2006,356
3156,2019,356
3157,2007,356
3158,2010,356
3159,2006,356
3160,2011,356
3161,2018,356
3162,2013,356
3163,2017,355
3164,1995,355
3165,2019,355
3166,2012,355
3167,2017,355
3168,2010,355
3169,2016,355
3170,2019,354
3171,2017,354
3172,2008,354
3173,2016,354
3174,2018,354
3175,2007,354
3176,2019,354
3177,2011,354
3178,2008,354
3179,2013,354
3180,1998,354
3181,2007,354
3182,2007,354
3183,2012,353
3184,2007,353
3185,2010,353
3186,2012,353
3187,2003,353
3188,2002,353
3189,2007,353
3190,2017,353
3191,2013,352
3192,2010,352
3193,2022,352
3194,2015,352
3195,2016,352
3196,2013,352
3197,2004,352
3198,2013,351
3199,2019,351
3200,2005,351
3201,2012,351
3202,1994,351
3203,2007,351
3204,2008,351
3205,2008,351
3206,2012,351
3207,2009,351
3208,2007,350
3209,2009,350
3210,2016,350
3211,2013,350
3212,2013,350
3213,2011,350
3214,1999,350
3215,2005,350
3216,2004,349
3217,2012,349
3218,2006,349
3219,2019,349
3220,2008,349
3221,2008,349
3222,2009,348
3223,2017,348
3224,2005,348
3225,2002,348
3226,1998,348
3227,2009,348
3228,2018,348
3229,2017,348
3230,2010,348
3231,2004,347
3232,2004,347
3233,2013,347
3234,2014,347
3235,2006,347
3236,2011,347
3237,2005,347
3238,2015,347
3239,1999,347
3240,1999,347
3241,2019,347
3242,2018,347
3243,2004,347
3244,2009,347
3245,2012,346
3246,2018,346
3247,2017,346
3248,2013,346
3249,2016,346
3250,2003,346
3251,2014,346
3252,2013,346
3253,2009,346
3254,2022,346
3255,2010,346
3256,2000,346
3257,2011,345
3258,2012,345
3259,2018,345
3260,2019,345
3261,1994,345
3262,1996,345
3263,2005,345
3264,2009,345
3265,1996,345
3266,2006,345
3267,2001,345
3268,2003,345
3269,1999,344
3270,2011,344
3271,2018,344
3272,2015,344
3273,2016,344
3274,2011,344
3275,2009,344
3276,2017,344
3277,2012,344
3278,2011,344
3279,2013,344
3280,2022,343
3281,2013,343
3282,2008,343
3283,2005,343
3284,2012,342
3285,2004,342
3286,2018,342
3287,2015,342
3288,2008,342
3289,2010,342
3290,2017,342
3291,2022,342
3292,2000,342
3293,2010,342
3294,2008,342
3295,2021,342
3296,2016,342
3297,2017,341
3298,2015,341
3299,2003,341
3300,2000,341
3301,2004,341
3302,2008,341
3303,1995,341
3304,2013,341
3305,2015,341
3306,2002,341
3307,2007,340
3308,2011,340
3309,2014,340
3310,2018,340
3311,2003,340
3312,2008,340
3313,1994,340
3314,2006,340
3315,2019,340
3316,2019,340
3317,2012,340
3318,2013,340
3319,2003,340
3320,2015,340
3321,2022,340
3322,2006,340
3323,2022,340
3324,2000,339
3325,2001,339
3326,2010,339
3327,2013,339
3328,2016,339
3329,2016,339
3330,2013,339
3331,2003,339
3332,2018,339
3333,2004,339
3334,2016,339
3335,2003,339
3336,2015,339
3337,2016,338
3338,2018,338
3339,1996,338
3340,2008,338
3341,2013,338
3342,2022,337
3343,2009,337
3344,2005,337
3345,2022,337
3346,2012,337
3347,2018,337
3348,1994,337
3349,2007,337
3350,2018,337
3351,2016,336
3352,2008,336
3353,2019,336
3354,2012,336
3355,2016,336
3356,2017,336
3357,2003,336
3358,2017,336
3359,2000,336
3360,2015,335
3361,2010,335
3362,2000,335
3363,2014,335
3364,2014,335
3365,2011,335
3366,1995,335
3367,2016,335
3368,2004,335
3369,2014,335
3370,2006,335
3371,2016,335
3372,2001,334
3373,2013,334
3374,2009,334
3375,2013,334
3376,2010,334
3377,2016,334
3378,2009,334
3379,2004,334
3380,2017,334
3381,2004,334
3382,2021,334
3383,2003,334
3384,1999,334
3385,2011,334
3386,2005,334
3387,2007,333
3388,2016,333
3389,2009,333
3390,2016,333
3391,2018,333
3392,2001,333
3393,2017,333
3394,2017,333
3395,1998,333
3396,2019,332
3397,2015,332
3398,2020,332
3399,2015,332
3400,2001,332
3401,2004,332
3402,2014,332
3403,2019,332
3404,2016,332
3405,1998,332
3406,2017,332
3407,2009,332
3408,2018,332
3409,2017,332
3410,2007,331
3411,2008,331
3412,2006,331
3413,2006,331
3414,2009,331
3415,2018,331
3416,2011,331
3417,2014,331
3418,2018,331
3419,2019,331
3420,2016,331
3421,2018,330
3422,2021,330
3423,2012,330
3424,2007,330
3425,2015,330
3426,1998,330
3427,2005,330
3428,2006,330
3429,2012,330
3430,2016,330
3431,2015,330
3432,2007,330
3433,2017,330
3434,2005,329
3435,1995,329
3436,2003,329
3437,2019,329
3438,2011,329
3439,1998,329
3440,2019,328
3441,2012,328
3442,2010,328
3443,2014,328
3444,2012,328
3445,2017,328
3446,2011,328
3447,2005,328
3448,2018,328
3449,2000,328
3450,2016,328
3451,2008,328
3452,2019,328
3453,2013,328
3454,2011,328
3455,2017,328
3456,2005,328
3457,2011,327
3458,1994,327
3459,2007,327
3460,2019,327
3461,2015,327
3462,2013,327
3463,2018,327
3464,1998,327
3465,2003,327
3466,2009,326
3467,2009,326
3468,2006,326
3469,2009,326
3470,1999,326
3471,2013,326
3472,2021,326
3473,2018,326
3474,2019,326
3475,2000,326
3476,2006,326
3477,2022,326
3478,2009,325
3479,2013,325
3480,2006,325
3481,2016,325
3482,2008,325
3483,2004,325
3484,2012,325
3485,2000,325
3486,2017,324
3487,2017,324
3488,2013,324
3489,2013,324
3490,2011,324
3491,2009,324
3492,2004,323
3493,2006,323
3494,2021,323
3495,2016,323
3496,2013,323
3497,2019,323
3498,2016,323
3499,2015,323
3500,2011,323
3501,2019,323
3502,2018,323
3503,2008,323
3504,2009,323
3505,2018,323
3506,2004,322
3507,2012,322
3508,2012,322
3509,2015,322
3510,2015,322
3511,2005,322
3512,2014,322
3513,2014,322
3514,2015,322
3515,2010,322
3516,2015,322
3517,2013,321
3518,2007,321
3519,2017,321
3520,2017,321
3521,2018,321
3522,2019,321
3523,2000,321
3524,2011,321
3525,2012,321
3526,2015,321
3527,2021,320
3528,2017,320
3529,2018,320
3530,2012,320
3531,2012,320
3532,2008,320
3533,2017,320
3534,2005,320
3535,2017,320
3536,2014,320
3537,2011,319
3538,2022,319
3539,2006,319
3540,2006,319
3541,2007,319
3542,2020,319
3543,2013,319
3544,2011,319
3545,2010,319
3546,2012,319
3547,2003,319
3548,1994,319
3549,2013,319
3550,2007,319
3551,2009,319
3552,2008,319
3553,2008,318
3554,2013,318
3555,2004,318
3556,2006,318
3557,2010,318
3558,2016,318
3559,2019,318
3560,2019,318
3561,2017,317
3562,2000,317
3563,2013,317
3564,2010,317
3565,2015,317
3566,2017,317
3567,2007,317
3568,2006,317
3569,2007,317
3570,2011,317
3571,2015,317
3572,1996,317
3573,2014,317
3574,2003,316
3575,2004,316
3576,2000,316
3577,2018,316
3578,2000,316
3579,2021,316
3580,2009,316
3581,2004,316
3582,2008,316
3583,2015,316
3584,2011,315
3585,2022,315
3586,2019,315
3587,2007,315
3588,2010,315
3589,2021,315
3590,2010,315
3591,2019,315
3592,2014,315
3593,2014,315
3594,2010,314
3595,2009,314
3596,2016,314
3597,2015,314
3598,2021,314
3599,2011,314
3600,2009,314
3601,2007,314
3602,2016,314
3603,2019,314
3604,2020,314
3605,2016,314
3606,2014,313
3607,2019,313
3608,2011,313
3609,2014,313
3610,2003,313
3611,2001,313
3612,2002,313
3613,2013,313
3614,2022,313
3615,2008,313
3616,2019,313
3617,2005,313
3618,2016,313
3619,2005,313
3620,2010,312
