Rank,University,#,Position
685,Kansas State University,24,55.04
686,University of Pennsylvania,7,55.29
687,University of Wyoming,4,55.5
688,Cedarville University,7,55.57
689,Kumoh National Institute of Technology,10,55.6
690,Clarkson University,19,55.68
691,University of Arizona,18,55.94
692,University of Patras,6,56.17
693,University of Dundee,6,56.33
694,Tottori University,9,56.44
695,University of California Santa Barbara,2,56.5
696,Colorado School of Mines,17,56.65
697,Southern Taiwan University of Technology,6,56.67
698,Wayne State University,21,56.67
699,University of Exeter,7,56.71
700,Chiba Institute of Technology,8,56.75
701,Northern Illinois University,17,56.76
702,Queen Mary University of London,2,57.0
703,University of Brighton,1,57.0
704,University of Saskatchewan,19,57.0
705,Pellissippi State Community College,2,57.5
706,University of Georgia,2,57.5
707,City University London,14,57.93
708,Concordia University,18,58.0
709,Fachhochschule Frankfurt am Main,2,58.0
710,National Institute of Technology - Jamshedpur,3,58.0
711,North Carolina Agricultural and Technical State University,3,58.0
712,Peter the Great St. Petersburg Polytechnic University,1,58.0
713,Yamagata University,3,58.0
714,University of Texas at San Antonio,15,58.73
715,LeTourneau University,6,58.83
716,McMaster University,13,58.85
717,ESIA San Luis Potosi,1,59.0
718,The University of Texas at Dallas,3,59.0
719,Virginia Commonwealth University,1,59.0
720,Cégep du Vieux Montréal,8,59.12
721,Grand Valley State University,5,59.2
722,Hochschule Bonn-Rhein-Sieg,3,59.33
723,Southern Illinois University Carbondale,11,59.55
724,California State University Fresno,9,59.56
725,University of Wisconsin-Platteville,14,59.93
726,Cleveland State University,2,60.0
727,Hacettepe University,4,60.0
728,Instituto Politécnico Nacional,2,60.0
729,Instituto Superior de Engenharia de Coimbra,1,60.0
730,National Institute of Technology - Calicut,2,60.0
731,National Taipei University of Technology,3,60.0
732,Universidad Politecnica Salesiana,1,60.0
733,Setsunan University,10,60.4
734,University College London,7,60.57
735,Laxmi Devi Institute of Engineering &amp; Technology,1,61.0
736,Vanderbilt University,11,61.0
737,Portland State University,12,61.25
738,University of Hartford,20,61.3
739,Yeungnam University College,22,61.36
740,Manav Rachna International University,2,61.5
741,Washington University in St. Louis,15,61.53
742,University of Colorado Denver,7,61.57
743,The University of Kitakyushu,5,61.8
744,Cairo University,6,61.83
745,Dalhousie University,11,62.36
746,Cape Peninsula University of Technology,2,62.5
747,Saitama Institute of Technology,7,62.57
748,Osaka Prefecture University,5,62.6
749,University of Guelph,16,62.62
750,Aso College of Automotive Engineering and Technology,5,63.0
751,University of Central Florida,20,63.65
752,Lehigh University,21,63.71
753,Cooper Union,13,64.0
754,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,3,64.0
755,Sebelas Maret University,2,64.0
756,Tsinghua University,1,64.0
757,Indian Institute of Technology Delhi,4,64.25
758,Sojo University,11,64.36
759,Gunma University,2,64.5
760,Recinto Universitario de Mayagüez,3,64.67
761,University of Sunderland,14,64.71
762,University of Illinois at Chicago,16,64.75
763,Mississippi State University,13,64.92
764,Institute of Technology Bandung,1,65.0
765,University of Massachusetts Dartmouth,1,65.0
766,Shizuoka Professional College of Automobile Technology,6,65.17
767,University of Louisville,12,65.33
768,Bharati Vidyapeeth College of Engineering,4,65.75
769,Nelson Mandela Metropolitan University,1,66.0
770,Columbia University,16,66.06
771,Leibniz Universität Hannover,4,66.25
772,Western Michigan University,15,66.33
773,Central Michigan University,5,66.6
774,Union College,3,66.67
775,Universidad Panamericana Sede México,6,66.83
776,Isfahan University of Technology,1,67.0
777,University of Massachusetts Lowell,8,67.12
778,North East Wales Institute of Higher Education,2,67.5
779,Tennessee Technological University,13,67.62
780,Temple University,21,67.67
781,Ajou University,1,68.0
782,Case Western Reserve University,2,68.0
783,Hanze University of Applied Sciences Groningen,3,68.0
784,University of Puerto Rico,10,68.1
785,University of Evansville,13,68.23
786,Carnegie Mellon University,11,68.27
787,University of Utah,14,68.36
788,University of New Hampshire,16,68.38
789,Uludağ University,2,68.5
790,University of North Florida,9,68.56
791,Universidad de Oriente Venezuela,4,68.75
792,Marquette University,11,68.91
793,University of New Brunswick,1,69.0
794,Northwestern University,13,69.31
795,University of British Columbia - Okanagan,5,69.4
796,York College of Pennsylvania,13,69.46
797,University of Toyama,5,70.2
798,Universidad de las Fuerzas Armadas - ESPE,3,70.33
799,Aoyama Gakuin University,6,70.5
800,United States Naval Academy,20,70.5
801,University of Hull,8,70.62
802,Bradley University,22,70.77
803,FAMU-FSU College of Engineering,6,71.0
804,Thomas More Mechelen - De Nayer,1,71.0
805,Embry-Riddle Aeronautical University,5,71.2
806,Karel de Grote University College,5,71.2
807,Penn State Harrisburg,4,71.25
808,University of Louisiana at Lafayette,4,72.5
809,Alexandria University,3,72.67
810,Kyushu University,4,72.75
811,Polytechnic Institute of New York University,5,72.8
812,University of Kentucky,6,73.5
813,Monroe County Community College,9,73.78
814,Université du Québec à Chicoutimi,18,74.11
815,Old Dominion University,13,74.54
816,California State University Long Beach,8,74.88
817,Grand Canyon University,1,75.0
818,Mansoura University,2,75.0
819,University of Derby,1,75.0
820,University of Maine,2,75.0
821,University of Regina,3,75.0
822,Lakehead University,12,75.17
823,Middle Tennessee State University,4,75.75
824,Universidad Nacional Experimental Politécnica,3,76.33
825,United States Air Force Academy,19,76.42
826,Indian Institute of Technology Bombay,2,76.5
827,University of Stavanger,2,76.5
828,University of Minnesota Duluth,6,77.0
829,Miami University,3,77.67
830,Stevens Institute of Technology,9,77.67
831,Helwan University (‏جامعة حلوان),1,78.0
832,Washington State University,10,78.0
833,University of Indonesia,1,79.0
834,Texas Tech University,10,80.7
835,St. Cloud State University,8,81.0
836,Florida Institute of Technology,12,81.67
837,New Jersey Institute of Technology,3,81.67
838,Binghamton University,3,82.0
839,University of Portland,1,82.0
840,University Putra Malaysia,1,82.0
841,Polytechnic University of Puerto Rico,6,82.5
842,Southern Illinois University Edwardsville,6,83.17
843,University of St. Thomas,4,83.25
844,Philadelphia University,1,84.0
845,University of Iowa,2,84.0
846,Loyola Marymount University,3,84.33
847,Florida International University,7,84.43
848,Saint Louis University,7,84.86
849,Tokyo Tech Car College Setagaya,1,85.0
850,Universidad Metropolitana,7,86.14
851,Hoseo University,3,87.0
852,Universidad Autónoma del Estado de México,12,87.0
853,Universidad Central de Venezuela,10,87.3
854,University of Northampton,2,87.5
855,Colorado Mesa University,6,88.33
856,North Dakota State University,9,88.89
857,Midwestern State University,1,89.0
858,Universidad del Zulia,3,89.33
859,Jordan University of Science and Technology,1,90.0
860,Purdue University - Northwest,5,90.0
861,École Centrale Paris,1,90.0
862,Ana G. Méndez University - Gurabo,2,92.0
863,Ferris State University,11,93.0
864,Memorial University of Newfoundland,4,96.25
865,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,1,99.0
866,University of Alabama in Huntsville,2,99.5
867,J.S.S. Academy of Technical Education Noida,1,101.0
868,Seoul National University of Science and Technology,1,102.0
869,Texas State University,1,108.0
870,Vaughn College of Aeronautics and Technology,1,108.0
871,Universidad Católica Andrés Bello,2,109.0
872,Alabama A&amp;M University,1,114.0
873,City College of The City University of New York,1,116.0
874,Fanshawe College,1,117.0
875,École nationale d'aérotechnique,1,123.0
