Rank,University,Lowest Place,Number of Lowest Place
264,University of Burgundy - ISAT,7.0,1
265,University of Calgary,7.0,1
266,University of Hartford,7.0,1
267,University of Pittsburgh,7.0,1
268,University of South Florida,7.0,1
269,University of Technology Sydney,7.0,1
270,University of Utah,7.0,1
271,Università degli Studi di Napoli Federico II,7.0,1
272,Université du Québec à Trois-Rivières,7.0,1
273,Villanova University,7.0,1
274,Wayne State University,7.0,1
275,West Virginia University,7.0,1
276,Yıldız Technical University,7.0,1
277,Flinders University,8.0,2
278,University of Minnesota Twin Cities,8.0,2
279,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,8.0,1
280,COEP Technological University ,8.0,1
281,Cooper Union,8.0,1
282,Fachhochschule Aachen,8.0,1
283,Hochschule RheinMain,8.0,1
284,Kookmin University,8.0,1
285,Liverpool John Moores University,8.0,1
286,Marathwada Mitra Mandal's College of Engineering,8.0,1
287,Meijo University,8.0,1
288,Ruhr-Universität Bochum,8.0,1
289,Rzeszów University of Technology,8.0,1
290,Silesian University of Technology,8.0,1
291,South Dakota State University,8.0,1
292,Universidad Europea de Madrid,8.0,1
293,Universidade de Brasília,8.0,1
294,Universidade Estadual Paulista - Guaratinguetá,8.0,1
295,University of Central Florida,8.0,1
296,University of Huddersfield,8.0,1
297,University of Malaga,8.0,1
298,University of Texas at Austin,8.0,1
299,Warsaw University of Technology,8.0,1
300,Ostfalia University of Applied Sciences,9.0,2
301,Universitatea Transilvania din Braşov,9.0,2
302,Université de Sherbrooke,9.0,2
303,Carleton University,9.0,1
304,Fachhochschule Konstanz,9.0,1
305,Gdańsk University of Technology,9.0,1
306,Kinki University,9.0,1
307,Kogakuin University,9.0,1
308,Moscow Polytechnic University,9.0,1
309,Pune Vidyarti Griha's college of Engineering and Technology,9.0,1
310,Seikei University,9.0,1
311,Shizuoka University,9.0,1
312,Syracuse University,9.0,1
313,São Paulo State University - UNESP - Bauru,9.0,1
314,Technion - Israel Institute of Technology,9.0,1
315,Tokyo City University,9.0,1
316,Universidad Rey Juan Carlos,9.0,1
317,Universidade de Lisboa - Instituto Superior Técnico,9.0,1
318,Universidade Tecnológica Federal do Paraná,9.0,1
319,University of Malta,9.0,1
320,University of Tasmania,9.0,1
321,Università degli Studi di Roma Tor Vergata,9.0,1
322,Vanderbilt University,9.0,1
323,Western Michigan University,9.0,1
324,Czech University of Life Sciences Prague,10.0,2
325,University of Belgrade (Универзитет у Београду),10.0,2
326,Università degli Studi della Tuscia,10.0,2
327,Charotar University of Science and Technology,10.0,1
328,FH Campus Wien,10.0,1
329,Hochschule Mannheim,10.0,1
330,Honda Technical College Kansai,10.0,1
331,KTH Royal Institute of Technology,10.0,1
332,Saarland University,10.0,1
333,Saginaw Valley State University,10.0,1
334,Technical University of Liberec,10.0,1
335,Technische Hochschule Köln,10.0,1
336,Technische Hochschule Lübeck,10.0,1
337,Thakur College of Engineering and Technology,10.0,1
338,Tokyo Metropolitan College of Industrial Technology,10.0,1
339,Ulm University of Applied Sciences,10.0,1
340,United States Naval Academy,10.0,1
341,Universidade Paulista - Sorocaba,10.0,1
342,University of Brescia,10.0,1
343,University of Liverpool,10.0,1
344,University of New Hampshire,10.0,1
345,University of Toledo,10.0,1
346,University of Ulster,10.0,1
347,University of Windsor,10.0,1
348,Technische Hochschule Ostwestfalen-Lippe,11.0,2
349,BITS Pilani KK Birla Goa Campus,11.0,1
350,California State University Fullerton,11.0,1
351,Colorado School of Mines,11.0,1
352,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,11.0,1
353,Hochschule Heilbronn,11.0,1
354,Kennesaw State University,11.0,1
355,Kumaraguru College of Technology,11.0,1
356,Louisiana State University,11.0,1
357,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,11.0,1
358,PSG College of Technology,11.0,1
359,Stevens Institute of Technology,11.0,1
360,Universidad Simón Bolívar,11.0,1
361,Universidade Federal de Santa Catarina - Joinville,11.0,1
362,Universitat Jaume I,11.0,1
363,University of British Columbia - Okanagan,11.0,1
364,University of California Irvine,11.0,1
365,University of California San Diego,11.0,1
366,University of California Los Angeles,11.0,1
367,University of Connecticut,11.0,1
368,University of Portsmouth,11.0,1
369,University of Victoria,11.0,1
370,University of West Bohemia,11.0,1
371,University of Wolverhampton,11.0,1
372,Università degli Studi di Parma,11.0,1
373,VIT University - Chennai,11.0,1
374,Minnesota State University Mankato,12.0,2
375,Rose-Hulman Institute of Technology,12.0,2
376,University of South Australia,12.0,2
377,Carnegie Mellon University,12.0,1
378,Clarkson University,12.0,1
379,Duke University,12.0,1
380,Fachhochschule Dortmund,12.0,1
381,KLE Technological University,12.0,1
382,Kumoh National Institute of Technology,12.0,1
383,Lovely Professional University,12.0,1
384,Shri G.S. Institute of Technology and Science Indore,12.0,1
385,Swansea University,12.0,1
386,Symbiosis Institute of Technology,12.0,1
387,Technological University Dublin,12.0,1
388,Universidad de Vigo,12.0,1
389,Universidad Politécnica de Madrid (UPM),12.0,1
390,Universidade Federal de Itajubá - Itabira,12.0,1
391,University of Colorado at Boulder,12.0,1
392,University of Louisville,12.0,1
393,University of Miskolc,12.0,1
394,University of North Dakota,12.0,1
395,University of Rijeka,12.0,1
396,University of Split,12.0,1
397,University of the Basque Country,12.0,1
398,University of the West of England,12.0,1
399,University of Wales Trinity Saint David,12.0,1
400,University of Yamanashi,12.0,1
401,University of Zagreb,12.0,1
402,Washington University in St. Louis,12.0,1
403,Birla Institute of Science and Technology Pilani - Dubai,13.0,1
404,Brown University,13.0,1
405,Concordia University,13.0,1
406,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,13.0,1
407,Gheorghe Asachi Technical University of Iaşi,13.0,1
408,Hindustan Institute of Technology and Science,13.0,1
409,Hochschule für Technik und Wirtschaft Berlin,13.0,1
410,Hokkaido University,13.0,1
411,Kyushu Institute of Technology,13.0,1
412,Norwegian University of Science and Technology,13.0,1
413,Queensland University of Technology,13.0,1
414,Ramaiah Institute of Technology,13.0,1
415,Universidade Federal de Santa Catarina,13.0,1
416,University of Aberdeen,13.0,1
417,University of Central Lancashire,13.0,1
418,University of North Carolina at Charlotte,13.0,1
419,University of Ulsan,13.0,1
420,York College of Pennsylvania,13.0,1
421,Drexel University,14.0,2
422,Ritsumeikan University,14.0,2
423,Amity School of Engineering and Technology,14.0,1
424,Birmingham City University,14.0,1
425,California Baptist University,14.0,1
426,California State University Chico,14.0,1
427,California State University Fresno,14.0,1
428,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,14.0,1
429,Cégep du Vieux Montréal,14.0,1
430,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,14.0,1
431,Heriot-Watt University,14.0,1
432,Institute of Technologists,14.0,1
433,King Mongkut's Institute of Technology Ladkrabang,14.0,1
434,Massachusetts Institute of Technology,14.0,1
435,Odessa Polytechnic National State University,14.0,1
436,Slovak University of Technology in Bratislava,14.0,1
437,Temple University,14.0,1
438,Universidad Politécnica de Cartagena,14.0,1
439,Universidade Federal da Bahia,14.0,1
440,Universidade Federal do Paraná,14.0,1
441,University of Arizona,14.0,1
442,University of Idaho,14.0,1
443,University of Patras,14.0,1
444,University of Saskatchewan,14.0,1
445,University of Southern California,14.0,1
446,Università degli Studi di Catania,14.0,1
447,Università degli Studi di Ferrara,14.0,1
448,Waseda University,14.0,1
449,University of Evansville,15.0,2
450,University of Pennsylvania,15.0,2
451,Aalborg University,15.0,1
452,Bradley University,15.0,1
453,Central Piedmont Community College,15.0,1
454,D. Y. Patil College of Engineering &amp; Technology Kasaba Bawada Kolhapur ,15.0,1
455,Florida Atlantic University,15.0,1
456,Indian Institute of Technology Kanpur,15.0,1
457,Kurume Institute of Technology,15.0,1
458,LeTourneau University,15.0,1
459,Netaji Subhas Institute of Technology,15.0,1
460,Politecnico di Bari,15.0,1
461,Polytechnic Institute of Leiria,15.0,1
462,Rajendra Mane College of Engineering and Technology,15.0,1
463,Shizuoka Institute of Science and Technology,15.0,1
464,Sojo University,15.0,1
465,Southern Methodist University,15.0,1
466,Technische Universität Dresden,15.0,1
467,Tel Aviv University,15.0,1
468,Toyota Technical College Nagoya,15.0,1
469,Università degli Studi di Cagliari,15.0,1
470,Western Sydney University,15.0,1
471,Wichita State University,15.0,1
472,Worcester Polytechnic Institute,15.0,1
473,Daido Institute of Technology,16.0,1
474,Democritus University of Thrace,16.0,1
475,Fachhochschule für Wirtschaft und Technik,16.0,1
476,Federal University of Paraíba,16.0,1
477,Iran University of Science and Technology - Arak,16.0,1
478,Manchester Metropolitan University,16.0,1
479,Meisei University,16.0,1
480,Middle Tennessee State University,16.0,1
481,NED University of Engineering and Technology,16.0,1
482,Nihon Automobile College,16.0,1
483,Nippon Institute of Technology,16.0,1
484,Old Dominion University,16.0,1
485,Sheffield Hallam University,16.0,1
486,Technische Universität Dortmund,16.0,1
487,Universidade Independente,16.0,1
488,University of Cambridge,16.0,1
489,University of Guelph,16.0,1
490,University of Illinois at Chicago,16.0,1
491,University of Massachusetts Lowell,16.0,1
492,Universität Siegen,16.0,1
493,Linköping University,17.0,2
494,University of Ontario Institute of Technology,17.0,2
495,Aston University,17.0,1
496,Columbia University,17.0,1
497,D.Y. Patil School of Engineering Academy Ambi,17.0,1
498,De Montfort University,17.0,1
499,DIT University,17.0,1
500,Federation University Australia,17.0,1
501,Instituto Tecnológico de Chihuahua,17.0,1
502,Montana State University - Bozeman,17.0,1
503,National Tsing Hua University,17.0,1
504,Technical University of Sofia,17.0,1
505,The National Institute of Engineering Mysore,17.0,1
506,University of Delaware,17.0,1
507,University of Edinburgh,17.0,1
508,University of the West of Scotland,17.0,1
509,Victoria University Australia,17.0,1
510,Hochschule Pforzheim,18.0,2
511,University of Southern Queensland,18.0,2
512,Fanshawe College,18.0,1
513,Karlstad University,18.0,1
514,King Mongkut's University of Technology Thonburi,18.0,1
515,Milwaukee School of Engineering,18.0,1
516,National Institute of Technology - Rourkela,18.0,1
517,Osaka City University,18.0,1
518,Portland State University,18.0,1
519,Taylor's University,18.0,1
520,Tennessee Technological University,18.0,1
521,University of California Davis,18.0,1
522,University Politehnica Of Bucharest,18.0,1
523,Universität der Bundeswehr München,18.0,1
524,Bergische Universität Wuppertal,19.0,1
525,Hope College,19.0,1
526,John von Neumann University,19.0,1
527,Northwestern University,19.0,1
528,PES University,19.0,1
529,Pillai College Of Engineering,19.0,1
530,University College Dublin,19.0,1
531,University of Fukui,19.0,1
532,University of Kocaeli,19.0,1
533,Duale Hochschule Baden-Württemberg Ravensburg,20.0,2
534,Kalinga Institute of Industrial Technology,20.0,1
535,Pellissippi State Community College,20.0,1
536,Southern Illinois University Carbondale,20.0,1
537,Togliatti State University,20.0,1
538,Universidade Federal de São Carlos,20.0,1
539,University of Moratuwa,20.0,1
540,University of Mostar,20.0,1
541,University of Wisconsin-Platteville,20.0,1
542,Chitkara University Punjab,21.0,1
543,College of Industrial Technology Nihon University,21.0,1
544,Dalhousie University,21.0,1
545,Fachhochschule Osnabrück,21.0,1
546,Fr Conceicao Rodrigues College of Engineering,21.0,1
547,Guru Gobind Singh Indraprastha University,21.0,1
548,Hochschule für Technik und Wirtschaft Mittweida,21.0,1
549,Honda Technical College Kanto,21.0,1
550,Hubei University of Automotive Technology,21.0,1
551,IMT Nord Europe - Douai,21.0,1
552,Kasetsart University,21.0,1
553,Kyushu Sangyo University,21.0,1
554,National Technical University of Ukraine Kyiv Polytechnic Institute,21.0,1
555,PEC University of Technology,21.0,1
556,Technische Universität Kaiserslautern,21.0,1
557,Universidad de Castilla-La Mancha,21.0,1
558,Universidad Francisco de Vitoria,21.0,1
559,Universidade Federal De Lavras,21.0,1
560,Universidade Federal de Sergipe,21.0,1
561,University of Exeter,21.0,1
562,University of Louisiana at Lafayette,21.0,1
563,University of North Texas,21.0,1
564,Ural State University of Railway Transport,21.0,1
565,Brandenburgische Technische Universität Cottbus,22.0,1
566,Deggendorf Institute of Technology,22.0,1
567,Düzce University,22.0,1
568,Instituto Superior de Engenharia de Lisboa,22.0,1
569,Istanbul Technical University,22.0,1
570,James Cook University,22.0,1
571,Kingston University,22.0,1
572,Marquette University,22.0,1
573,Middle East Technical University,22.0,1
574,Osaka Sangyo University,22.0,1
575,Peoples' Friendship University of Russia,22.0,1
576,University of Ottawa,22.0,1
