uni,date,event,total
University of North Texas,2022,Michigan,276
TAMK University of Applied Sciences,2019,Czech Republic,276
University of Liverpool,2011,United Kingdom,276
Siam University,2015,Japan,276
Clemson University,2014,Michigan,276
Kettering University,2014,Michigan,276
Texas Tech University,2014,Michigan,276
York College of Pennsylvania,2008,Virginia,276
University of Cadiz,2022,Spain,276
University of Cincinnati,2003,Michigan,276
Keio University,2006,Japan,276
TECNUN - University of Navarra,2014,Spain,276
Queen's University,2003,Michigan,276
Old Dominion University,2004,Michigan,276
Université du Québec à Trois-Rivières,2007,Michigan,276
Queen's University,2011,California,276
Université du Québec à Trois-Rivières,2001,Michigan,276
Hochschule RheinMain,2017,Spain,276
Manipal Academy of Higher Education,2016,Czech Republic,276
Universidad Politécnica de Madrid (UPM),2006,United Kingdom,276
Florida Atlantic University,2022,Michigan,275
Washington State University,2008,California,275
South Dakota State University,2011,California,275
University of Perugia,2014,Italy,275
Otto-von-Guericke-Universität Magdeburg,2015,Czech Republic,275
Chulalongkorn University,2010,Japan,275
Universidade de Brasília,2016,Brasil,275
Loughborough University,2018,East,275
Hochschule Niederrhein,2019,Austria,275
University of Calgary,2008,Virginia,275
University of Sheffield,2022,United Kingdom,275
Purdue University - West Lafayette,2000,Michigan,275
King Mongkut's University of Technology Thonburi,2018,Japan,275
University of Belgrade (Универзитет у Београду),2016,Czech Republic,275
Fachhochschule Stralsund,2017,Austria,275
Shibaura Institute of Technology,2010,Japan,275
Arizona State University,1994,Michigan,275
The Ohio State University,2006,Michigan,275
University of Warwick,2011,United Kingdom,275
Honda Technical College Kanto,2006,Japan,275
University of Ottawa,2022,Michigan,274
Università degli Studi di Cagliari,2008,Italy,274
Tokyo Denki University,2019,Australia,274
Université du Québec à Chicoutimi,2016,Michigan,274
University of California Los Angeles,2017,Lincoln,274
York College of Pennsylvania,2017,Michigan,274
Aalborg University,2022,Germany,274
Temple University,2019,Michigan,274
Columbia University,2019,Michigan,274
Bradley University,2001,Michigan,274
Hochschule RheinMain,2017,Germany,274
Lancaster  University,2013,United Kingdom,274
Cooper Union,2016,Michigan,274
Gifu University,2015,Japan,274
Purdue University - West Lafayette,2005,Michigan,274
Lehigh University,2018,Michigan,274
Technical University of Liberec,2017,Czech Republic,274
Case Western Reserve University,2005,Michigan,274
Nagoya Institute of Technology,2003,Japan,274
The University of Newcastle,2005,United Kingdom,274
Tennessee Technological University,2015,Michigan,273
Clarkson University,2002,Michigan,273
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2010,Germany,273
TECNUN - University of Navarra,2012,Spain,273
Old Dominion University,2019,Michigan,273
Honda Technical College Kansai,2010,Japan,273
University of Windsor,2010,Michigan,273
Rheinisch-Westfälische Technische Hochschule Aachen,2004,United Kingdom,273
Università di Pisa,2021,Austria,273
Centro Universitário Facens,2009,California,273
Western University,2009,Michigan,272
University of Ontario Institute of Technology,2009,Virginia,272
Shizuoka University,2015,Japan,272
McGill University,2010,Michigan,272
University of Puerto Rico,1995,Michigan,272
RMIT University,2018,Australia,272
Rutgers The State University of New Jersey,2014,Michigan,272
University of Manitoba,2006,Michigan,272
Shizuoka Institute of Science and Technology,2009,Japan,272
Fachhochschule Joanneum Graz,2017,Italy,272
United States Air Force Academy,2004,Michigan,272
University of British Columbia - Vancouver,2003,Michigan,272
California State University Northridge,1997,Michigan,272
University of Michigan - Ann Arbor,2000,Michigan,272
Vanderbilt University,2008,Michigan,272
Daido Institute of Technology,2008,Japan,271
Cardiff University Wales,2015,United Kingdom,271
Manipal Academy of Higher Education,2013,Germany,271
Hochschule Niederrhein,2016,Spain,271
École Centrale de Lyon,2018,Italy,271
Hochschule für Technik und Wirtschaft Berlin,2016,Germany,271
University of Huddersfield,2002,United Kingdom,271
Grand Valley State University,2017,Michigan,271
Ritsumeikan University,2014,Japan,271
Lancaster  University,2007,United Kingdom,271
University of Adelaide,2017,Australia,270
Rheinisch-Westfälische Technische Hochschule Aachen,2008,United Kingdom,270
Deakin University,2008,Australia,270
Rensselaer Polytechnic Institute,1999,Michigan,270
Meijo University,2005,Japan,270
Lakehead University,2016,Michigan,270
University of South Florida,2009,Michigan,270
Shizuoka University,2014,Japan,270
Ulm University of Applied Sciences,2010,Austria,270
Queen's University,2009,Michigan,270
Fachhochschule Hannover,2022,Netherlands,270
Cooper Union,2014,Michigan,270
Kansas State University,2012,Michigan,270
Università degli studi di Padova,2009,Germany,270
Wayne State University,2015,Michigan,270
Università degli Studi di Roma Tor Vergata,2015,Italy,270
Université Laval,1998,Michigan,270
University of North Carolina at Charlotte,2013,Michigan,269
University of North Carolina at Charlotte,2007,Michigan,269
Osaka City University,2011,Japan,269
Fachhochschule Coburg,2011,Austria,269
Florida International University,2022,Michigan,269
Oregon State University,2002,Michigan,269
Technical University of Liberec,2022,Czech Republic,269
Budapest University of Technology and Economics,2021,Netherlands,269
Michigan State University,2000,Michigan,269
Concordia University,2018,Michigan,269
Southern Illinois University Carbondale,2011,Michigan,269
Flinders University,2018,Australia,269
Universidade Federal de Santa Maria,2015,Lincoln,269
Clarkson University,2018,Michigan,269
University of Maine,2013,Michigan,269
Vanderbilt University,2005,United Kingdom,269
Mississippi State University,2017,Michigan,269
Toyohashi University of Technology,2011,Japan,268
VIT University - Vellore,2016,Germany,268
Universidad Simón Bolívar,2002,Michigan,268
Ryerson University,2018,Michigan,268
York College of Pennsylvania,2013,Michigan,268
University of Manitoba,2005,Michigan,268
Aristotle University of Thessaloniki,2016,Germany,268
Wroclaw University of Technology,2010,United Kingdom,268
Rensselaer Polytechnic Institute,2000,Michigan,268
Aristotle University of Thessaloniki,2007,Italy,268
Hochschule für Technik und Wirtschaft Berlin,2014,Germany,268
Universidad Simón Bolívar,2016,Michigan,268
Drexel University,2001,Michigan,267
Oklahoma State University - Stillwater,2005,Michigan,267
Western University,2008,Michigan,267
Gdańsk University of Technology,2022,Alpe Adria,267
Fachhochschule Dortmund,2013,United Kingdom,267
University of British Columbia - Vancouver,1997,Michigan,267
Columbia University,2016,Lincoln,267
Institute of Technologists,2019,Japan,267
Western Michigan University,2018,Michigan,267
The University of Newcastle,2008,Australia,267
Fachhochschule München,2010,Japan,267
Universidad Politécnica de Madrid (UPM),2015,Spain,267
University of Saskatchewan,2007,California,267
Pennsylvania State University,2019,Michigan,266
University of Toledo,1999,Michigan,266
Hochschule für Technik und Wirtschaft Berlin,2015,Germany,266
Tokai University,2007,Australia,266
Hochschule Heilbronn,2018,Germany,266
Yıldız Technical University,2018,East,266
Sheffield Hallam University,2022,United Kingdom,266
Florida Institute of Technology,2015,Michigan,266
Auburn University,2010,Michigan,266
National University of Singapore,2005,Michigan,266
Escola Politécnica da Universidade de São Paulo,2015,Brasil,266
Ryerson University,2007,Michigan,266
Fachhochschule München,2018,Austria,266
University of Liverpool,2014,United Kingdom,266
K. J. Somaiya College of Engineering,2017,Germany,266
University of Birmingham,2012,Germany,266
Queen's University,2008,Michigan,266
California State Polytechnic University - San Luis Obispo,2012,Lincoln,266
Lancaster  University,2008,United Kingdom,266
University of Waterloo,2016,Michigan,266
University of Waterloo,2006,Michigan,266
University of Aberdeen,2012,United Kingdom,266
University of Texas at Austin,1998,Michigan,265
Rose-Hulman Institute of Technology,2018,Michigan,265
Tel Aviv University,2016,Czech Republic,265
University of New Hampshire,2014,Michigan,265
University of Yamanashi,2009,Japan,265
University of Manchester,2005,United Kingdom,265
University of South Australia,2015,Australia,265
Fachhochschule Osnabrück,2009,United Kingdom,265
South Dakota School of Mines and Technology,2001,Michigan,265
University of Leeds,2019,Italy,265
University of Alberta,2022,Michigan,265
University of Sheffield,2012,United Kingdom,265
FH Campus Wien,2019,Netherlands,265
Technische Universität Wien,2012,Germany,265
University of Maribor,2019,East,265
Universidad Politécnica de Madrid (UPM),2010,Germany,265
Oklahoma State University - Stillwater,2013,Michigan,265
R.V.College of Engineering,2011,Italy,265
Oklahoma State University - Stillwater,2011,Michigan,264
Minnesota State University Mankato,2012,Lincoln,264
Sophia University,2004,Michigan,264
Universidad Politécnica de Madrid (UPM),2013,Germany,264
Università del Salento,2015,Spain,264
University of Rijeka,2018,Italy,264
University of Connecticut,2011,Michigan,264
University of Brescia,2015,Austria,264
Queen's University Belfast,2012,United Kingdom,264
Instituto Mauá de Tecnologia,2010,Brasil,264
University of Ontario Institute of Technology,2011,Michigan,264
Bauman Moscow State Technical University,2015,Austria,264
Warsaw University of Technology,2013,United Kingdom,264
Pittsburg State University,2008,Virginia,263
University of Burgundy - ISAT,2007,United Kingdom,263
University of Manitoba,2018,Michigan,263
Hochschule RheinMain,2019,East,263
Rzeszów University of Technology,2022,Germany,263
McMaster University,1999,Michigan,263
Lehigh University,2014,Michigan,263
University of Central Florida,2012,Michigan,263
University of Liverpool,2015,United Kingdom,263
Michigan Technological University,2016,Michigan,263
TECNUN - University of Navarra,2017,Germany,263
Università di Pisa,2010,Germany,263
Hochschule für Angewandte Wissenschaften Hamburg,2019,Germany,263
University Carlos III of Madrid,2022,Germany,263
University of Southern Denmark,2011,Germany,262
Ruhr-Universität Bochum,2018,Germany,262
Meijo University,2009,Japan,262
University of Leeds,2004,United Kingdom,262
York College of Pennsylvania,2019,Michigan,262
Meijo University,2007,Japan,262
University of Texas at Austin,2015,Lincoln,262
Honda Technical College Kanto,2008,Japan,262
R.V.College of Engineering,2017,Italy,262
Okayama University of Science,2016,Japan,262
KTH Royal Institute of Technology,2011,Hungary,262
York College of Pennsylvania,2018,Michigan,262
University of Maryland,2015,Lincoln,262
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2011,Austria,262
Clemson University,2009,Michigan,262
University of Victoria,2004,Michigan,262
University of Ulster,2005,Italy,262
University of Houston,2017,Lincoln,262
University of Guelph,2017,Michigan,262
École Centrale de Lyon,2016,Italy,262
UAS Würzburg-Schweinfurt,2008,Germany,262
Marche Polytechnic University,2016,Italy,262
University of Southampton,2017,Czech Republic,262
Universidad Simón Bolívar,2003,Michigan,262
Concordia University,1995,Michigan,261
Ulm University of Applied Sciences,2014,Austria,261
Swansea University,2001,United Kingdom,261
Chungbuk National University,2006,Michigan,261
Hochschule für Angewandte Wissenschaften Hamburg,2017,East,261
University of Oklahoma,1999,Michigan,261
Università degli Studi di Roma La Sapienza,2017,Italy,261
John von Neumann University,2012,Hungary,261
Carleton University,2002,Michigan,261
University of Kansas,2008,Michigan,261
Missouri University of Science and Technology,2000,Michigan,261
South Dakota School of Mines and Technology,2017,Michigan,260
Santa Clara University,1995,Michigan,260
University of Hartford,1997,Michigan,260
University of Manitoba,2012,Michigan,260
Bergische Universität Wuppertal,2013,Austria,260
Politecnico di Milano,2005,Italy,260
United States Naval Academy,2009,Michigan,260
Western Michigan University,2014,Michigan,260
University of Washington,1997,Michigan,260
Colorado School of Mines,2002,Michigan,260
University of Kentucky,2016,Michigan,260
Monash University,2001,Australia,260
Gifu University,2009,Japan,260
University of the Basque Country,2012,United Kingdom,260
Budapest University of Technology and Economics,2019,Czech Republic,260
Technische Hochschule Köln,2010,Germany,260
University of Guelph,2009,Michigan,260
Southern Illinois University Carbondale,2014,Michigan,260
Drexel University,2000,Michigan,259
Università di Pisa,2022,East,259
Moscow Polytechnic University,2016,Czech Republic,259
University of Manitoba,1998,Michigan,259
Kansas State University,2014,Lincoln,259
University of Rijeka,2010,United Kingdom,259
Hochschule Darmstadt UAS,2015,Austria,259
University of Wisconsin-Madison,2022,Michigan,259
Lovely Professional University,2020,India,259
Villanova University,2011,Michigan,259
Clarkson University,2000,Michigan,259
Universität Paderborn,2014,Austria,259
Western University,2000,Michigan,259
University of Leeds,2021,United Kingdom,258
Kansas State University,2007,Michigan,258
Loughborough University,2019,Austria,258
Tokyo Denki University,2015,Australia,258
Cardiff University Wales,2013,Germany,258
Fachhochschule Hannover,2011,Italy,258
Rochester Institute of Technology,2012,Michigan,258
Rensselaer Polytechnic Institute,2014,Michigan,258
University of Malta,2017,Italy,258
Iowa State University,2009,Michigan,258
Białystok University of Technology,2021,East,258
University of Pittsburgh,2014,Michigan,257
Northwestern University,2011,Michigan,257
Birla Institute of Technology Mesra,2018,India,257
Hochschule für Angewandte Wissenschaften Hamburg,2021,Germany,257
University of Maribor,2022,Alpe Adria,257
University of Burgundy - ISAT,2014,United Kingdom,257
University of Burgundy - ISAT,2010,United Kingdom,257
University of Huddersfield,2021,United Kingdom,257
Concordia University,1997,Michigan,257
Mississippi State University,2008,Virginia,257
RMIT University,2001,Australia,257
Imperial College London,2003,United Kingdom,257
University of Wisconsin-Platteville,2015,Lincoln,257
Escola de Engenharia de São Carlos da Universidade de São Paulo,2008,Brasil,257
Honda Technical College Kansai,2019,Australia,257
University of Southern California,2008,California,257
University of Southern California,2004,Michigan,257
Technische Universität Darmstadt,2007,United Kingdom,257
Shizuoka University,2008,Japan,256
Kanazawa Institute of Technology,2016,Japan,256
K. J. Somaiya College of Engineering,2013,Germany,256
Universidad Politécnica de Madrid (UPM),2007,United Kingdom,256
University of Arizona,2010,California,256
Fachhochschule Hannover,2022,Germany,256
Universidad Central de Venezuela,2014,Michigan,256
University of Minnesota Twin Cities,2008,California,256
University of Texas at Austin,1999,Michigan,256
Clarkson University,2004,Michigan,256
Fachhochschule Stralsund,2018,Germany,256
York College of Pennsylvania,2010,Michigan,256
Universidade Paulista,2007,California,256
Toyota Technical College Nagoya,2018,Japan,256
St. Cloud State University,2018,Michigan,256
Kansas State University,1999,Michigan,255
Meijo University,2010,Japan,255
Michigan Technological University,2010,Michigan,255
Fachhochschule Stralsund,2016,Germany,255
Moscow Polytechnic University,2013,Germany,255
Technische Hochschule Lübeck,2021,Germany,255
KTH Royal Institute of Technology,2007,Germany,255
Kanagawa Institute of Technology,2010,Michigan,255
University of Hartford,1998,Michigan,255
Utsunomiya University,2017,Japan,255
Brandenburgische Technische Universität Cottbus,2012,Germany,255
TECNUN - University of Navarra,2012,Italy,255
Brunel University London,2011,Germany,255
Carleton University,2005,Michigan,255
Tokyo Denki University,2017,Australia,255
Université du Québec à Chicoutimi,2010,Michigan,255
The University of Newcastle,2004,United Kingdom,255
Lund University,2009,United Kingdom,254
Okayama University of Science,2015,Japan,254
TECNUN - University of Navarra,2013,United Kingdom,254
Bauman Moscow State Technical University,2016,Germany,254
Universidade Federal do Rio Grande do Sul,2016,Brasil,254
Northern Illinois University,2008,Virginia,254
Western Washington University,2001,Michigan,254
University of Warwick,2004,United Kingdom,254
Linköping University,2016,United Kingdom,254
University of Zagreb,2013,Germany,254
Vishwakarma Institute of Information Technology,2022,India,254
Monroe County Community College,2001,Michigan,254
Newcastle University,2008,United Kingdom,253
Białystok University of Technology,2013,Germany,253
Texas Tech University,2013,Michigan,253
Swansea University,2019,United Kingdom,253
University of Puerto Rico,2007,Michigan,253
Hochschule Niederrhein,2017,Spain,253
University of Victoria,2022,Michigan,253
Politecnico di Milano,2014,Italy,253
Escola Politécnica da Universidade de São Paulo,2010,Brasil,253
Chalmers University of Technology,2005,United Kingdom,253
Ostbayerische Technische Hochschule Regensburg,2012,Hungary,253
Università degli Studi di Roma La Sapienza,2013,Germany,253
Niigata University,2018,Japan,253
University of Texas at Austin,2004,Michigan,253
Escola Politècnica Superior d'Enginyeria de Manresa,2022,Germany,253
University of Liverpool,2019,United Kingdom,253
Centro Universitário Facens,2012,Brasil,253
Hochschule RheinMain,2009,United Kingdom,252
Brunel University London,2004,United Kingdom,252
Lehigh University,2003,Michigan,252
The University of Akron,2018,Austria,252
Hochschule Pforzheim,2019,East,252
Lehigh University,2011,Michigan,252
University of Thessaly,2013,Italy,252
Western University,1999,Michigan,252
University of Huddersfield,2009,United Kingdom,252
PES University,2019,India,252
University of Arizona,2005,Michigan,252
Hochschule Heilbronn,2017,Austria,252
Cardiff University Wales,2010,United Kingdom,252
Swansea University,2016,United Kingdom,252
California State Polytechnic University - San Luis Obispo,1996,Michigan,252
University of Hull,2019,United Kingdom,252
Università degli Studi di Firenze,2021,Czech Republic,252
Purdue University - West Lafayette,2016,Michigan,251
Tokyo Denki University,2011,Australia,251
Escola Politècnica Superior d'Enginyeria de Manresa,2021,Italy,251
AGH University of Science and Technology,2015,Spain,251
University of South Florida,2015,Michigan,251
University of Moratuwa,2018,United Kingdom,251
Vanderbilt University,2009,Virginia,251
University of Queensland,2001,Australia,251
Universitatea Transilvania din Braşov,2019,Spain,251
University of Missouri,2013,Michigan,251
Institute of Technologists,2011,Japan,251
Honda Technical College Kansai,2007,Japan,251
Queensland University of Technology,2004,Australia,251
University of Aberdeen,2014,United Kingdom,251
Otto-von-Guericke-Universität Magdeburg,2017,Germany,251
Lakehead University,2019,Michigan,251
Universidade de Lisboa - Instituto Superior Técnico,2006,United Kingdom,251
Osaka University,2006,Japan,250
Technion - Israel Institute of Technology,2019,Austria,250
United States Air Force Academy,2013,Michigan,250
Technion - Israel Institute of Technology,2017,Germany,250
Kanazawa University,2018,Japan,250
University of Zagreb,2006,United Kingdom,250
Technische Hochschule Ostwestfalen-Lippe,2012,Germany,250
MIT World Peace University,2020,India,250
São Paulo State University - UNESP - Bauru,2017,Brasil,250
University College London,2022,United Kingdom,250
West Virginia University,2014,Michigan,250
R.V.College of Engineering,2019,India,250
Hochschule Heilbronn,2016,Italy,250
Ruhr-Universität Bochum,2016,Germany,250
University of Edinburgh,2021,United Kingdom,250
Shri G.S. Institute of Technology and Science Indore,2022,India,250
Meijo University,2016,Japan,250
University of Illinois at Urbana-Champaign,2002,Michigan,250
Czech Technical University in Prague,2015,Germany,250
Tottori University,2018,Japan,249
Kanagawa Institute of Technology,2011,Japan,249
TAMK University of Applied Sciences,2009,Germany,249
University of Toronto,2014,Michigan,249
Fachhochschule für Wirtschaft und Technik,2008,Germany,249
University of Wolverhampton,2016,United Kingdom,249
Fachhochschule Stralsund,2014,Germany,249
Instituto Superior de Engenharia de Lisboa,2016,Czech Republic,249
University of Calgary,2010,California,249
UAS Würzburg-Schweinfurt,2016,Spain,249
University of Burgundy - ISAT,2016,Germany,249
Deggendorf Institute of Technology,2009,Germany,249
Bradley University,2002,Michigan,249
Cornell University,2009,Michigan,249
University of Toronto,1999,Michigan,249
Gheorghe Asachi Technical University of Iaşi,2013,Hungary,249
Universitatea Transilvania din Braşov,2016,Spain,248
California State University Chico,2019,Lincoln,248
Brunel University London,2005,United Kingdom,248
Indian Institute of Technology Madras,2019,Germany,248
University of Sheffield,2014,United Kingdom,248
Florida Atlantic University,2014,Michigan,248
Politecnico di Torino,2011,United Kingdom,248
University of Ontario Institute of Technology,2013,Michigan,248
State University of New York at Buffalo,1999,Michigan,248
Universität Kassel,2018,Austria,248
Cardiff University Wales,2016,Austria,248
AGH University of Science and Technology,2015,Hungary,248
Imperial College London,2012,United Kingdom,248
University of Melbourne,2001,Australia,248
Hokkaido University,2017,Japan,248
Universidade Federal do Rio de Janeiro,2009,Brasil,248
University of California Los Angeles,2019,Lincoln,248
Saarland University,2009,Germany,248
University of Nottingham,2005,United Kingdom,247
University of Michigan - Ann Arbor,2008,Michigan,247
University of British Columbia - Okanagan,2017,Michigan,247
University of Wisconsin-Platteville,2016,Lincoln,247
Universidade de Brasília,2005,Michigan,247
California State University Chico,2017,Lincoln,247
Universitatea Transilvania din Braşov,2018,United Kingdom,247
University of Seville,2015,Spain,247
University of California Berkeley,2009,California,247
University of Oklahoma,1996,Michigan,247
University College Dublin,2004,United Kingdom,247
Hochschule für Angewandte Wissenschaften Hamburg,2018,Germany,247
Northern Illinois University,2001,Michigan,247
Aston University,2002,United Kingdom,246
The University of Newcastle,2007,Australia,246
University of British Columbia - Vancouver,2012,Lincoln,246
University of South Australia,2012,Australia,246
University of Calgary,2006,United Kingdom,246
University of Birmingham,2004,Michigan,246
Centro Federal de Educação Tecnológica de Minas Gerais,2013,Brasil,246
Vanderbilt University,2014,Michigan,246
Fachhochschule Hannover,2016,Czech Republic,246
Osaka Sangyo University,2008,Japan,246
Oxford Brookes University,2019,Austria,246
McGill University,2006,Michigan,246
Coventry University,2017,United Kingdom,246
Marche Polytechnic University,2019,Italy,246
University of Arizona,2014,Lincoln,246
Sophia University,2014,Japan,246
University of Huddersfield,2022,United Kingdom,246
National University of Singapore,2007,Michigan,246
California State University Long Beach,2002,Michigan,246
California State University Los Angeles,2017,Lincoln,246
University of Utah,1998,Michigan,245
Białystok University of Technology,2021,Austria,245
The University of Michigan-Dearborn,2018,Michigan,245
Technische Hochschule Ostwestfalen-Lippe,2013,Austria,245
Fachhochschule Hannover,2022,Austria,245
Université du Québec à Chicoutimi,2011,Michigan,245
Brunel University London,2016,United Kingdom,245
Flinders University,2019,Australia,245
Honda Technical College Kansai,2012,Japan,245
Deakin University,2011,Australia,245
Pennsylvania State University,1995,Michigan,245
Kinki University,2010,Japan,245
Hochschule Darmstadt UAS,2013,Italy,245
University of Arizona,2006,Michigan,245
VIT University - Vellore,2015,Germany,245
North Carolina Agricultural and Technical State University,2002,Michigan,245
University of California Los Angeles,2018,Lincoln,245
Swinburne University of Technology,2006,Australia,245
Yeungnam University College,2008,Japan,244
University of South Florida,2012,Michigan,244
University of Minnesota Duluth,2017,Michigan,244
Friedrich-Alexander-Universität Erlangen-Nürnberg,2021,East,244
Tokyo University of Agriculture and Technology,2016,Japan,244
University of Maribor,2022,Czech Republic,244
United States Naval Academy,2010,Michigan,244
University of Central Lancashire,2004,United Kingdom,244
Universidade Federal de São João del Rei,2015,Brasil,244
Marathwada Mitra Mandal's College of Engineering,2022,India,244
Hochschule Pforzheim,2013,Austria,244
Universidade Estadual de Campinas,2010,Brasil,244
Cedarville University,2008,Virginia,244
University of Toledo,2002,Michigan,244
Villanova University,2013,Michigan,244
City University London,2013,United Kingdom,244
Universidad Politécnica de Madrid (UPM),2016,Spain,244
Université du Québec à Chicoutimi,2003,Michigan,244
University of Alberta,2006,California,243
University of Alberta,2005,Michigan,243
Oakland University,2022,Michigan,243
Osaka Sangyo University,2016,Japan,243
Marche Polytechnic University,2014,Italy,243
North Carolina State University,2015,Michigan,243
University of Hartford,2002,Michigan,243
University of Birmingham,2011,Germany,243
Osaka Institute of Technology,2016,Japan,243
Lehigh University,2007,Michigan,243
University of Fukui,2015,Japan,243
University of Huddersfield,2007,United Kingdom,243
Lafayette College,2008,Virginia,243
Universidade Paulista,2015,Brasil,243
Universitatea Transilvania din Braşov,2022,Alpe Adria,243
Saginaw Valley State University,2003,Michigan,243
Virginia Polytechnic Institute and State University,2011,Michigan,243
Fachhochschule Hannover,2019,Austria,243
York College of Pennsylvania,2012,Michigan,243
Honda Technical College Kansai,2008,Japan,243
Universität Paderborn,2014,Germany,243
HAN University of Applied Sciences,2016,Germany,243
TAMK University of Applied Sciences,2022,East,243
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2008,Germany,243
Università degli Studi della Tuscia,2012,Germany,243
University of Waterloo,2009,Michigan,243
TECNUN - University of Navarra,2009,United Kingdom,242
Ural State University of Railway Transport,2016,Italy,242
Otto-von-Guericke-Universität Magdeburg,2018,Germany,242
Harbin Institute of Technology at Weihai,2016,Japan,242
Fachhochschule Stralsund,2001,United Kingdom,242
Western University,2004,Michigan,242
Universidad de Vigo,2019,Spain,242
Swansea University,2004,United Kingdom,242
Fachhochschule Coburg,2008,Germany,242
Tennessee Technological University,2006,Michigan,242
École Polytechnique de Montréal,1997,Michigan,242
Escola Politécnica da Universidade de São Paulo,2012,Brasil,242
University of Belgrade (Универзитет у Београду),2019,East,242
Università della Calabria,2012,Italy,242
TAMK University of Applied Sciences,2010,Austria,241
University of Kansas,1997,Michigan,241
Heriot-Watt University,2019,United Kingdom,241
Dr. D. Y. Patil Institute Of Engineering and Technology,2018,Italy,241
University of Connecticut,1995,Michigan,241
Kurume Institute of Technology,2010,Japan,240
Lafayette College,2012,Michigan,240
The University of Michigan-Dearborn,2012,Lincoln,240
Hochschule RheinMain,2019,Spain,240
University of Sheffield,2011,United Kingdom,240
Osaka City University,2015,Japan,240
Louisiana State University,2013,Michigan,240
Ecole Nationale d'Ingénieurs de Metz,2018,United Kingdom,240
University of Illinois at Chicago,2015,Lincoln,240
Université de Sherbrooke,2007,California,240
Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,2009,Germany,240
University of Missouri,2012,Lincoln,240
Ulm University of Applied Sciences,2014,Germany,240
Michigan Technological University,2022,Michigan,240
Silesian University of Technology,2017,Italy,240
Worcester Polytechnic Institute,2011,Michigan,240
University of Perugia,2013,Italy,240
University of Bath,2019,Germany,240
University of British Columbia - Vancouver,2014,Lincoln,240
Kettering University,2018,Lincoln,240
University of Portland,2005,Michigan,240
Indiana University – Purdue University Indianapolis,2017,Michigan,240
Liverpool John Moores University,2014,Spain,239
Technical University of Munich,2015,Austria,239
Friedrich-Alexander-Universität Erlangen-Nürnberg,2021,Germany,239
Cégep du Vieux Montréal,2014,Michigan,239
Escola Universitària Salesiana de Sarrià (UAB),2019,Spain,239
Doshisha University,2006,Japan,239
San Diego State University,2017,Lincoln,239
Deakin University,2006,Australia,239
Deakin University,2004,Australia,239
Coventry University,2012,United Kingdom,239
TAMK University of Applied Sciences,2012,Hungary,239
University of Hartford,2004,Michigan,239
University of Belgrade (Универзитет у Београду),2014,Austria,239
Florida Institute of Technology,2017,Michigan,239
Technische Universität Darmstadt,2019,Austria,239
Smt. Kashibai Navale College of Engineering,2019,Austria,238
Colorado Mesa University,2019,Michigan,238
Fachhochschule Hannover,2011,Germany,238
Università degli Studi di Catania,2007,United Kingdom,238
Kasetsart University,2016,Japan,238
University of Guelph,2012,Michigan,238
Warsaw University of Technology,2014,Australia,238
Politecnico di Torino,2008,United Kingdom,238
University of Liverpool,2018,United Kingdom,238
Queensland University of Technology,2013,Australia,238
Rheinisch-Westfälische Technische Hochschule Aachen,2012,Germany,238
Technische Universität Braunschweig,2003,Australia,238
University of Hawaii at Manoa,2008,Michigan,238
West Virginia University,1997,Michigan,238
Central Piedmont Community College,2008,Virginia,238
Aston University,2004,United Kingdom,237
Smt. Kashibai Navale College of Engineering,2018,East,237
University of Auckland,2005,Australia,237
Sophia University,2014,Australia,237
Northern Illinois University,2003,Michigan,237
The University of Newcastle,2010,Australia,237
FH Campus Wien,2019,East,237
Tennessee Technological University,2002,Michigan,237
Ulm University of Applied Sciences,2014,Spain,237
Kyoto Institute of Technology,2008,Japan,237
Delhi Technological University,2019,India,237
University of Fukui,2013,Japan,237
UAS Kempten,2017,Austria,237
University of New South Wales,2014,Australia,237
University of Liverpool,2006,United Kingdom,237
Okayama University of Science,2017,Japan,237
Centro Universitário da FEI,2010,Michigan,237
Hubei University of Automotive Technology,2016,Germany,237
Lawrence Technological University,2013,Michigan,237
University of Seville,2016,Spain,237
Escola Politécnica da Universidade de São Paulo,2014,Brasil,237
Università degli Studi di Cagliari,2011,Hungary,236
Budapest University of Technology and Economics,2009,Germany,236
University of Warwick,2007,United Kingdom,236
Lehigh University,1996,Michigan,236
Western University,1994,Michigan,236
Washington State University,2007,California,236
Missouri University of Science and Technology,2006,Michigan,236
Hochschule Pforzheim,2017,Austria,236
Lawrence Technological University,2006,Michigan,236
McGill University,2015,Michigan,236
TAMK University of Applied Sciences,2010,Germany,236
John von Neumann University,2017,East,236
University of Illinois at Urbana-Champaign,2001,Michigan,236
University of Belgrade (Универзитет у Београду),2021,East,236
De Montfort University,2016,United Kingdom,236
Aalborg University,2021,East,236
Università degli Studi della Tuscia,2010,United Kingdom,236
Concordia University,2010,Michigan,236
Kettering University,2016,Lincoln,235
Fachhochschule München,2012,Austria,235
University of Central Florida,2013,Michigan,235
FAMU-FSU College of Engineering,2001,Michigan,235
Kennesaw State University,2003,Michigan,235
University of Strathclyde,2005,United Kingdom,235
Fachhochschule Coburg,2011,Germany,235
