Rank,University,Points
556,Technical University of Liberec,39.45
557,Chaitanya Bharathi Institute of Technology,39.32
558,Gdańsk University of Technology,39.31
559,University of South Carolina,39.2
560,University of British Columbia - Okanagan,39.18
561,Osaka Metropolitan University,39.11
562,Technische Hochschule Ostwestfalen-Lippe,38.99
563,University of Regina,38.96
564,University of Delhi,38.94
565,Washington University in St. Louis,38.84
566,Guangxi University of Science and Technology,38.76
567,Universidad del Zulia,38.72
568,Indian Institute of Technology Roorkee,38.6
569,Memorial University of Newfoundland,38.59
570,Cedarville University,38.58
571,Recinto Universitario de Mayagüez,38.56
572,Frederick University,38.54
573,University of Ulster,38.53
574,University of Southern Queensland,38.5
575,University of Wisconsin-Platteville,38.47
576,Concordia University,38.39
577,Politecnico di Bari,38.38
578,University of Delaware,38.37
579,École Nationale Supérieure des Arts et Métiers de Lille,38.36
580,King Mongkut's Institute of Technology Ladkrabang,38.26
581,Polytechnic Institute of Leiria,38.22
582,FAMU-FSU College of Engineering,38.16
583,Ural State University of Railway Transport,38.14
584,Czech University of Life Sciences Prague,38.12
585,University of Agder,38.1
586,D.Y. Patil School of Engineering Academy Ambi,38.07
587,University of Rijeka,38.04
588,York College of Pennsylvania,38.02
589,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,37.99
590,Linköping University,37.98
591,Universitatea Politehnica Timișoara,37.94
592,John von Neumann University,37.92
593,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,37.88
594,Shizuoka Institute of Science and Technology,37.85
595,Universidad Nacional Experimental Politécnica,37.85
596,Colorado Mesa University,37.81
597,Oregon Institute of Technology,37.79
598,The University of Kitakyushu,37.76
599,University of the Basque Country,37.75
600,Tokyo University of Science,37.7
601,University of California Irvine,37.68
602,Harbin Institute of Technology at Weihai,37.59
603,Gifu University,37.54
604,Ajou University,37.5
605,Universidade Federal do Ceará,37.5
606,Charotar University of Science and Technology,37.48
607,Fachhochschule Aachen,37.44
608,Cégep du Vieux Montréal,37.37
609,Tokai University,37.36
610,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,37.3
611,University of Technology Sydney,37.16
612,Seikei University,37.14
613,Universidad Metropolitana,36.82
614,California State University Fullerton,36.79
615,University of Portsmouth,36.66
616,Honda Technical College Kansai,36.65
617,Universidade Estadual Paulista - Guaratinguetá,36.63
618,Hochschule Offenburg,36.6
619,University of Yamanashi,36.59
620,Indira Gandhi Delhi Technical University for Women,36.54
621,Amrita School of Engineering Coimbatore,36.52
622,University of Oulu,36.48
623,Prince of Songkla University,36.35
624,Southern Methodist University,36.3
625,Universidade Federal de Viçosa,36.3
626,University of Fukui,36.27
627,Université du Québec à Chicoutimi,36.27
628,South Dakota State University,36.22
629,Loyola Marymount University,36.2
630,Bauman Moscow State Technical University,36.17
631,University of Maine,36.1
632,J.C. Bose University of Science and Technology YMCA,36.07
633,Stevens Institute of Technology,36.03
634,Drexel University,36.0
635,Instituto Superior de Engenharia de Lisboa,36.0
636,Universidade Paulista,35.96
637,Georgia Southern University,35.92
638,Universidad Autónoma del Estado de México,35.87
639,Milwaukee School of Engineering,35.81
640,Honda Technical College Kanto,35.8
641,Victoria University Australia,35.74
642,Osaka Institute of Technology,35.53
643,Peoples' Friendship University of Russia,35.46
644,Birla Institute of Technology & Science  Pilani,35.42
645,Monroe County Community College,35.35
646,Odessa Polytechnic National State University,35.25
647,Korea University of Technology and Education,35.24
648,Instituto Superior de Engenharia de Coimbra,35.2
649,Hanyang University,35.15
650,King Mongkut's University of Technology Thonburi,35.11
651,Pillai College Of Engineering,35.05
652,Nagesh Karajagi Orchid College Of Engineering & Technology,35.0
653,University of Evansville,35.0
654,Old Dominion University,34.99
655,Universidade de Brasília,34.95
656,University of St. Thomas,34.92
657,Federation University Australia,34.91
658,Moscow State Automobile & Road Technical University - MADI,34.89
659,Florida Institute of Technology,34.83
660,University of Massachusetts Lowell,34.8
661,Florida International University,34.79
662,IMT Nord Europe - Douai,34.77
663,Universidad de Castilla-La Mancha,34.73
664,Amity School of Engineering and Technology,34.69
665,Mansoura University,34.65
666,Escola de Engenharia de Lorena da Universidade de São Paulo,34.64
667,Ritsumeikan University,34.61
668,NBN Sinhgad School Of Engineering,34.56
669,Brandenburgische Technische Universität Cottbus,34.53
670,Aichi Institute of Technology,34.5
671,Hanze University of Applied Sciences Groningen,34.5
672,Virginia Commonwealth University,34.4
673,Osaka Sangyo University,34.38
674,Sanyo-Onoda City University at Tokyo University of Science,34.38
675,MCT's Rajiv Gandhi Institute of Technology,34.37
676,Universidade Federal Fluminense - Niterói,34.28
677,University of Derby,34.2
678,Gheorghe Asachi Technical University of Iaşi,34.12
679,Belgorod state technological university named after V. G. Shukhov,34.08
680,Middle East Technical University,34.08
681,University of California Davis,34.06
682,Universidade Federal da Bahia,34.04
683,Toyota Technical College Nagoya,33.98
684,Universidade Federal De Lavras,33.9
685,University of Minnesota Duluth,33.9
686,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,33.87
687,Sardar Vallabhbhai National Institute of Technology,33.8
688,Teikyo University,33.75
689,Thomas More Mechelen - De Nayer,33.6
690,Yeungnam University College,33.34
691,Chitkara University Punjab,33.21
692,University of Louisiana at Lafayette,33.17
693,California State University Long Beach,33.12
694,Universidade Federal de Sergipe,33.09
695,University of Texas at San Antonio,32.97
696,University of Alabama in Huntsville,32.95
697,UNESP - Campus de Ilha Solteira,32.78
698,University of Sunderland,32.72
699,Istanbul Technical University,32.54
