Rank,University,Year,Points
1447,Honda Technical College Kansai,2017,685.0
1448,California State University Northridge,2004,684.0
1449,Technical University of Liberec,2019,684.0
1450,Rutgers The State University of New Jersey,2006,684.0
1451,University of Waterloo,2016,684.0
1452,Università degli Studi di Roma Tor Vergata,2022,683.0
1453,Nihon Automobile College,2016,683.0
1454,Concordia University,2015,683.0
1455,Lawrence Technological University,2010,683.0
1456,Rensselaer Polytechnic Institute,2005,682.0
1457,California State University Fullerton,2014,681.0
1458,Virginia Polytechnic Institute and State University,1992,681.0
1459,Kyoto University,2017,681.0
1460,University of Applied Sciences Ravensburg-Weingarten,2010,681.0
1461,Rutgers The State University of New Jersey,2009,681.0
1462,University of Malaga,2022,680.0
1463,University of Texas at Arlington,2015,680.0
1464,Universidade Federal de Santa Maria,2013,680.0
1465,University of Waterloo,1997,679.0
1466,Ibaraki University,2011,679.0
1467,University of Florida,2000,679.0
1468,Western Washington University,2019,679.0
1469,Honda Technical College Kansai,2008,679.0
1470,University of Florida,1994,678.0
1471,Chiba University,2006,678.0
1472,Kettering University,2016,678.0
1473,University of Alberta,2022,678.0
1474,Tokai University,2005,677.0
1475,Western Washington University,2010,677.0
1476,Rochester Institute of Technology,2005,677.0
1477,Hochschule für Technik und Wirtschaft Berlin,2015,677.0
1478,Monash University,2008,677.0
1479,Technische Hochschule Mittelhessen,2017,677.0
1480,Yokohama National University,2005,677.0
1481,University of Auckland,2011,677.0
1482,Rheinisch-Westfälische Technische Hochschule Aachen,2009,676.0
1483,University of Melbourne,2002,676.0
1484,Università degli studi di Padova,2013,676.0
1485,University of Malta,2022,675.0
1486,University of Birmingham,2010,675.0
1487,California State University Sacramento,2019,675.0
1488,Kobe University,2018,675.0
1489,University of Burgundy - ISAT,2009,674.0
1490,University of Maribor,2022,674.0
1491,Toyohashi University of Technology,2015,674.0
1492,Nihon Automobile College,2012,674.0
1493,Tongji University,2019,674.0
1494,University of New South Wales - Australian Defence Force Academy,2018,674.0
1495,Concordia University,2010,673.0
1496,Yokohama National University,2018,673.0
1497,Tokyo University of Science,2018,673.0
1498,Vanderbilt University,2009,673.0
1499,Australian National University,2002,673.0
1500,University of Minnesota Twin Cities,2015,673.0
1501,University of Burgundy - ISAT,2007,673.0
1502,University of the Basque Country,2012,673.0
1503,Michigan Technological University,1999,672.0
1504,Cedarville University,2008,672.0
1505,University of Adelaide,2006,672.0
1506,University of Sydney,2011,672.0
1507,Kookmin University,2007,672.0
1508,University of Liverpool,2014,671.0
1509,Yokohama National University,2014,671.0
1510,Rochester Institute of Technology,2019,671.0
1511,University of Birmingham,2015,670.0
1512,Dalhousie University,2014,670.0
1513,California State Polytechnic University - San Luis Obispo,2006,670.0
1514,Lawrence Technological University,2018,670.0
1515,Marche Polytechnic University,2016,670.0
1516,University of California San Diego,2019,669.0
1517,Doshisha University,2016,669.0
1518,University of Missouri,1998,669.0
1519,Aristotle University of Thessaloniki,2019,669.0
1520,Chiba University,2017,669.0
1521,Université Laval,2007,669.0
1522,Hochschule Pforzheim,2019,668.0
1523,Universidade Paulista,2010,668.0
1524,University of Wollongong,2005,668.0
1525,University of British Columbia - Vancouver,1995,668.0
1526,State University of New York at Buffalo,1995,667.0
1527,University of Wales Trinity Saint David,2009,667.0
1528,Kobe University,2019,667.0
1529,University of Cincinnati,2018,667.0
1530,University of Maribor,2014,666.0
1531,Nihon Automobile College,2014,666.0
1532,Università degli Studi di Firenze,2008,666.0
1533,Yıldız Technical University,2021,666.0
1534,Chiba University,2011,665.0
1535,University of Wollongong,2015,665.0
1536,University of Nebraska–Lincoln,2018,665.0
1537,University of Missouri,2013,664.0
1538,University of Fukui,2018,664.0
1539,Bergische Universität Wuppertal,2013,664.0
1540,Georgia Institute of Technology,2009,664.0
1541,University of Adelaide,2013,664.0
1542,Budapest University of Technology and Economics,2008,664.0
1543,Western University,2007,663.0
1544,University of Missouri,2009,663.0
1545,University of Minnesota Twin Cities,2019,663.0
1546,University of Florida,1998,662.0
1547,California State Polytechnic University Pomona,1995,662.0
1548,University of Illinois at Urbana-Champaign,1994,661.0
1549,Georgia Institute of Technology,1994,661.0
1550,Nagoya University,2005,661.0
1551,Università di Pisa,2012,661.0
1552,Curtin University,2015,661.0
1553,Shizuoka University,2007,661.0
1554,Shizuoka University,2009,660.0
1555,McGill University,2004,660.0
1556,Fachhochschule Kiel,2008,660.0
1557,Purdue University - West Lafayette,2011,660.0
1558,University of Aberdeen,2017,660.0
1559,Lund University,2021,659.0
1560,University of California Berkeley,2016,659.0
1561,University of Connecticut,2022,658.0
1562,Osaka City University,2007,658.0
1563,Rutgers The State University of New Jersey,2005,658.0
1564,Staffordshire University,2022,658.0
1565,Lawrence Technological University,1996,658.0
1566,Queensland University of Technology,2009,657.0
1567,University of Alberta,2011,657.0
1568,Cardiff University Wales,2019,657.0
1569,University of Sheffield,2018,657.0
1570,Shizuoka University,2017,657.0
1571,Polytechnic Institute of Leiria,2008,656.0
1572,Nihon Automobile College,2013,656.0
1573,École Polytechnique de Montréal,2013,656.0
1574,University of Oklahoma,2013,656.0
1575,Oklahoma State University - Stillwater,2022,656.0
1576,University of Leeds,2000,656.0
1577,California State Polytechnic University - San Luis Obispo,2001,656.0
1578,Dr. D. Y. Patil Institute Of Engineering and Technology,2018,655.0
1579,Iowa State University,2005,655.0
1580,University of Auckland,2004,655.0
1581,University of Texas at Arlington,1994,654.0
1582,University of Toledo,2012,654.0
1583,University of Melbourne,2010,654.0
1584,Keio University,2013,654.0
1585,North Carolina State University,2007,653.0
1586,Kyushu Institute of Technology,2011,653.0
1587,Liverpool John Moores University,2015,653.0
1588,Kobe University,2016,652.0
1589,Ibaraki University,2019,652.0
1590,Cardiff University Wales,2013,651.0
1591,Fachhochschule Aachen,2010,651.0
1592,Shibaura Institute of Technology,2014,651.0
1593,Virginia Polytechnic Institute and State University,2013,650.0
1594,Edith Cowan University,2010,650.0
1595,Osaka University,2017,650.0
1596,University of Sydney,2014,650.0
1597,Hokkaido University,2010,650.0
1598,California State University Northridge,2003,650.0
1599,University of Toledo,1997,649.0
1600,Shibaura Institute of Technology,2016,649.0
1601,Universidade Federal de Santa Maria,2014,649.0
1602,University of Burgundy - ISAT,2006,649.0
1603,Cardiff University Wales,2014,649.0
1604,National University of Singapore,2016,649.0
1605,The Ohio State University,2017,648.0
1606,University of Bath,2006,648.0
1607,Brown University,2000,648.0
1608,Oregon State University,1996,648.0
1609,Brown University,2002,647.0
1610,Chiba University,2016,647.0
1611,National University of Singapore,2017,647.0
1612,University of Southampton,2018,647.0
1613,University of Western Australia,2013,646.0
1614,Instituto Tecnológico de Buenos Aires,2017,646.0
1615,Colorado State University,2011,646.0
1616,Rutgers The State University of New Jersey,1994,646.0
1617,Utsunomiya University,2010,646.0
1618,Universidade Federal do Rio de Janeiro,2010,645.0
1619,Oregon Institute of Technology,2013,645.0
1620,Clemson University,2013,645.0
1621,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,2012,645.0
1622,University of Michigan - Ann Arbor,2004,645.0
1623,Swinburne University of Technology,2004,645.0
1624,RMIT University,2019,645.0
1625,AGH University of Science and Technology,2021,644.0
1626,University of Texas at Austin,2011,644.0
1627,Massachusetts Institute of Technology,2011,643.0
1628,University of Kansas,2018,643.0
1629,Heriot-Watt University,2017,643.0
1630,University of Washington,1998,643.0
1631,University of Victoria,2017,643.0
1632,Tokyo City University,2009,642.0
1633,Instituto Mauá de Tecnologia,2013,642.0
1634,University of Seville,2017,642.0
1635,RMIT University,2012,642.0
1636,Shizuoka University,2018,641.0
1637,Liverpool John Moores University,2013,641.0
1638,University of Waterloo,2022,641.0
1639,Queen's University Belfast,2002,641.0
1640,Chiba University,2014,641.0
1641,University of New South Wales,2012,641.0
1642,University of North Texas,2017,640.0
1643,Kennesaw State University,2006,640.0
1644,Technische Universiteit Eindhoven,2006,640.0
1645,California State University Northridge,2016,639.0
1646,University of Toledo,2010,639.0
1647,California State University Northridge,2013,639.0
1648,Georgia Institute of Technology,1995,639.0
1649,Ibaraki University,2018,639.0
1650,Pennsylvania State University,2007,638.0
1651,Tokai University,2009,637.0
1652,University of Missouri,2005,637.0
1653,Technische Universität Berlin,2008,637.0
1654,Keio University,2010,637.0
1655,University of Maribor,2021,636.0
1656,University of Missouri,2006,636.0
1657,University of Florida,1999,636.0
1658,Osaka University,2008,636.0
1659,University of Belgrade (Универзитет у Београду),2015,636.0
1660,Brown University,2006,635.0
1661,Kookmin University,2009,635.0
1662,Iowa State University,2007,635.0
1663,University of Cincinnati,2016,635.0
1664,South Dakota State University,2018,634.0
1665,South Dakota School of Mines and Technology,2012,634.0
1666,University of California San Diego,2022,634.0
1667,University of Wollongong,2007,634.0
1668,Deakin University,2007,634.0
1669,University of California San Diego,2018,633.0
1670,Western Michigan University,2009,633.0
1671,Hochschule Niederrhein,2015,633.0
1672,Kyushu Institute of Technology,2015,633.0
1673,Queen's University Belfast,2017,632.0
1674,University of Wales Trinity Saint David,2008,632.0
1675,Nippon Institute of Technology,2015,631.0
1676,Kobe University,2012,631.0
1677,California Baptist University,2022,630.0
1678,Ritsumeikan University,2016,630.0
1679,Cooper Union,2016,630.0
1680,Michigan State University,2011,630.0
1681,Tokai University,2011,629.0
1682,Clarkson University,1999,629.0
1683,Tokyo City University,2011,629.0
1684,Northern Illinois University,2007,628.0
1685,Kinki University,2007,628.0
1686,Iowa State University,2014,628.0
1687,Kinki University,2008,628.0
1688,Kyoto Institute of Technology,2011,628.0
1689,University of Sydney,2015,628.0
1690,University of Wisconsin-Madison,2018,628.0
1691,King Mongkut's University of Technology Thonburi,2015,627.0
1692,Université de Sherbrooke,1996,627.0
1693,Tokyo University of Agriculture and Technology,2018,627.0
1694,Purdue University - West Lafayette,2012,627.0
1695,Worcester Polytechnic Institute,2001,627.0
1696,University of Pennsylvania,2010,626.0
1697,University of Bath,2002,626.0
1698,Tokyo City University,2018,626.0
1699,Shibaura Institute of Technology,2011,625.0
1700,Utsunomiya University,2008,625.0
1701,Nippon Institute of Technology,2018,624.0
1702,Minnesota State University Mankato,2016,624.0
1703,Tokai University,2019,624.0
1704,Linköping University,2018,624.0
1705,National University of Singapore,2019,623.0
1706,Cardiff University Wales,2005,623.0
1707,Tokyo University of Science,2013,623.0
1708,Swansea University,2009,623.0
1709,Kobe University,2010,623.0
1710,Technische Hochschule Mittelhessen,2012,622.0
1711,University of Fukui,2017,622.0
1712,Duke University,2009,622.0
1713,University of Guelph,2004,622.0
1714,Pennsylvania State University,2008,622.0
1715,Edith Cowan University,2016,621.0
1716,Western University,2014,621.0
1717,Technion - Israel Institute of Technology,2018,621.0
1718,Université Laval,2009,620.0
1719,Deakin University,2006,620.0
1720,Kansas State University,2009,620.0
1721,Hope College,2022,620.0
1722,Tokyo City University,2017,620.0
1723,University of Minnesota Twin Cities,2016,620.0
1724,University of Delaware,2019,619.0
1725,Ben-Gurion University of the Negev,2014,619.0
1726,University of Surrey,2015,618.0
1727,National Technical University of Athens,2011,618.0
1728,Oklahoma State University - Stillwater,2008,618.0
1729,Technische Universität Berlin,2022,618.0
1730,Curtin University,2012,618.0
1731,Duale Hochschule Baden-Württemberg Ravensburg,2007,617.0
1732,University of New South Wales,2008,617.0
1733,The University of Newcastle,2004,617.0
1734,Hochschule Mannheim,2014,616.0
1735,Western Washington University,2018,616.0
1736,Ibaraki University,2014,616.0
1737,Nihon Automobile College,2019,616.0
1738,University of Nebraska–Lincoln,2015,616.0
1739,California State University Northridge,1999,615.0
1740,University of Rijeka,2010,615.0
1741,Seikei University,2015,615.0
1742,Ulm University of Applied Sciences,2015,615.0
1743,Auburn University,1998,615.0
1744,University of Burgundy - ISAT,2016,615.0
1745,Oklahoma State University - Stillwater,2003,615.0
1746,Nippon Institute of Technology,2016,615.0
1747,University of California Berkeley,2019,614.0
1748,University of Ottawa,2022,614.0
1749,Duke University,2012,614.0
1750,Technische Universität Kaiserslautern,2011,614.0
1751,Western University,2005,614.0
1752,Ruhr-Universität Bochum,2015,614.0
1753,Western University,2013,613.0
1754,Università degli Studi di Firenze,2015,613.0
1755,Missouri University of Science and Technology,1999,613.0
1756,University of Waterloo,2000,613.0
1757,University of Cincinnati,1998,613.0
1758,Meijo University,2015,612.0
1759,Kennesaw State University,1998,612.0
1760,Auburn University,2011,612.0
1761,Technische Hochschule Ostwestfalen-Lippe,2018,612.0
1762,Kanazawa University,2014,612.0
1763,Kanazawa Institute of Technology,2004,612.0
1764,Virginia Polytechnic Institute and State University,1995,611.0
1765,University of British Columbia - Vancouver,2005,611.0
1766,Kookmin University,2014,611.0
1767,Technical University of Liberec,2022,611.0
1768,Saginaw Valley State University,2022,611.0
1769,California State University Sacramento,2017,611.0
1770,Osaka Sangyo University,2010,611.0
1771,University of Wales Trinity Saint David,2010,611.0
1772,Universidade Federal do Rio de Janeiro,2015,610.0
1773,Western Washington University,2017,610.0
1774,Kennesaw State University,2014,610.0
1775,University of Toronto,2000,610.0
1776,University of Waikato,2013,609.0
1777,Brunel University London,2016,609.0
1778,Université Laval,2005,609.0
1779,Western Washington University,2013,609.0
1780,Queen's University,2012,608.0
1781,University of British Columbia - Vancouver,2015,608.0
1782,Rutgers The State University of New Jersey,2001,608.0
1783,Kasetsart University,2018,608.0
1784,Lehigh University,2007,608.0
1785,University Carlos III of Madrid,2021,607.0
1786,University of Alabama,2017,607.0
1787,Oregon State University,1995,607.0
1788,Universitas Negeri Yogyakarta,2018,606.0
1789,Villanova University,2015,606.0
1790,Osaka University,2016,606.0
1791,AGH University of Science and Technology,2019,606.0
1792,California State University Fullerton,2018,606.0
1793,University of New South Wales,2005,606.0
1794,Université Laval,2010,605.0
1795,University of Aberdeen,2019,605.0
1796,Ibaraki University,2009,605.0
1797,École de Technologie Superieure,1999,605.0
1798,Università degli Studi di Cagliari,2012,605.0
1799,University of Brescia,2015,605.0
1800,Ulm University of Applied Sciences,2008,605.0
1801,Kennesaw State University,2007,605.0
1802,University of Texas at Austin,2022,605.0
1803,University of Zagreb,2013,605.0
1804,University of Connecticut,2015,604.0
1805,Universidade Federal de Santa Maria,2015,604.0
1806,University of Modena and Reggio Emilia,2015,604.0
1807,Kansas State University,2008,604.0
1808,Université de Sherbrooke,1995,604.0
1809,Fachhochschule Aachen,2011,604.0
1810,Queen's University,2016,604.0
1811,University of Toledo,2011,603.0
1812,University of Michigan - Ann Arbor,2001,603.0
1813,Sanyo-Onoda City University at Tokyo University of Science,2018,603.0
1814,The Ohio State University,2013,603.0
1815,Ryerson University,2008,602.0
1816,University of Colorado at Boulder,2006,602.0
1817,California State Polytechnic University - San Luis Obispo,2016,602.0
1818,Cardiff University Wales,2016,602.0
1819,Oregon State University,2007,602.0
1820,Fachhochschule Osnabrück,2010,602.0
1821,University of Waterloo,2002,602.0
1822,Fachhochschule Hannover,2012,602.0
1823,Rose-Hulman Institute of Technology,2018,602.0
1824,Waseda University,2018,601.0
1825,The University of Akron,1995,601.0
1826,University of Pittsburgh,2004,601.0
1827,VIT University - Chennai,2019,601.0
1828,Lund University,2017,601.0
1829,California State University Northridge,2008,600.0
1830,University of Queensland,2013,600.0
1831,University of North Carolina at Charlotte,2005,600.0
1832,University of Oklahoma,2005,600.0
1833,Fachhochschule Stralsund,2004,600.0
1834,Saginaw Valley State University,2010,600.0
1835,University of Waterloo,2004,600.0
1836,Loughborough University,2014,599.0
1837,Massachusetts Institute of Technology,2010,599.0
1838,Universidade Paulista,2011,599.0
1839,King Mongkut's University of Technology Thonburi,2014,599.0
1840,Yokohama National University,2006,598.0
1841,Warsaw University of Technology,2015,598.0
1842,École Polytechnique de Montréal,2017,598.0
1843,Toyohashi University of Technology,2017,597.0
1844,Utsunomiya University,2009,597.0
1845,Florida Atlantic University,2017,596.0
1846,Clemson University,2019,596.0
1847,Michigan State University,1997,596.0
1848,Toyohashi University of Technology,2013,596.0
1849,Universidad Simón Bolívar,2006,596.0
1850,University of Huddersfield,2012,596.0
1851,Honda Technical College Kansai,2011,596.0
1852,Saginaw Valley State University,2019,596.0
1853,University of Warwick,2013,596.0
1854,University of Technology Sydney,2012,595.0
1855,Cornell University,2016,595.0
1856,Università di Pisa,2018,595.0
1857,Universidade Federal de Santa Maria,2012,594.0
1858,California State Polytechnic University Pomona,1996,594.0
1859,Honda Technical College Kanto,2012,594.0
1860,University of West Bohemia,2013,594.0
1861,University of Calgary,2022,594.0
1862,University of Adelaide,2002,593.0
1863,Seikei University,2010,593.0
1864,Villanova University,2019,593.0
1865,University of Texas at Arlington,2016,592.0
1866,Dalhousie University,2013,592.0
1867,University of Cincinnati,2001,592.0
1868,Shizuoka Institute of Science and Technology,2018,592.0
1869,University of Connecticut,2017,592.0
1870,University of Sydney,2004,592.0
1871,Fachhochschule Dortmund,2013,591.0
1872,LeTourneau University,2002,591.0
1873,The University of Tokyo,2005,591.0
1874,University of Toledo,2005,591.0
1875,University of British Columbia - Vancouver,2017,590.0
1876,Hochschule Darmstadt UAS,2012,590.0
1877,Tokai University,2013,590.0
1878,Georgia Southern University,2017,590.0
1879,Chalmers University of Technology,2009,590.0
1880,Università degli studi di Padova,2010,589.0
1881,University of Pittsburgh,2000,589.0
1882,National University of Singapore,2013,589.0
1883,Brunel University London,2010,589.0
1884,California State University Chico,2016,588.0
1885,Kookmin University,2016,588.0
1886,University of Central Florida,2019,588.0
1887,State University of New York at Buffalo,1994,588.0
1888,Curtin University,2019,588.0
1889,Cornell University,2018,587.0
1890,Brunel University London,2012,587.0
1891,University of Waterloo,2015,587.0
1892,University of Alberta,2009,587.0
1893,Technische Universität Ilmenau,2010,587.0
1894,Tongji University,2015,587.0
1895,Università del Salento,2015,586.0
1896,Texas A&amp;M University,1999,586.0
1897,McGill University,2002,586.0
1898,Technische Universität Kaiserslautern,2008,586.0
1899,KTH Royal Institute of Technology,2008,585.0
1900,Oakland University,2003,585.0
1901,University of Burgundy - ISAT,2014,585.0
1902,Széchenyi István University,2014,585.0
1903,University of Pennsylvania,2011,584.0
1904,RMIT University,2011,583.0
1905,University of Wollongong,2011,583.0
1906,University of Melbourne,2007,583.0
1907,Kyushu Institute of Technology,2016,583.0
1908,Karlstad University,2009,583.0
1909,University of Waikato,2015,583.0
1910,Tokyo University of Science,2014,583.0
1911,Hochschule für Technik und Wirtschaft Mittweida,2015,582.0
1912,Dartmouth College,1998,582.0
1913,Nippon Institute of Technology,2017,582.0
1914,Budapest University of Technology and Economics,2019,582.0
1915,Swansea University,2006,582.0
1916,Ryerson University,2007,581.0
1917,University of Victoria,2015,581.0
1918,Honda Technical College Kanto,2007,581.0
1919,Central Piedmont Community College,2008,581.0
1920,Michigan State University,1998,580.0
1921,University of Sydney,2013,580.0
1922,Alma Mater Studiorum - Università di Bologna,2013,580.0
1923,Kogakuin University,2010,580.0
1924,Brown University,1999,580.0
1925,Rose-Hulman Institute of Technology,2012,580.0
1926,Georgia Institute of Technology,1999,579.0
1927,Lawrence Technological University,2009,579.0
1928,Okayama University,2017,579.0
1929,Università degli Studi di Roma Tor Vergata,2014,579.0
1930,University of Yamanashi,2013,578.0
1931,Dartmouth College,1997,578.0
1932,Dartmouth College,1999,578.0
1933,Silesian University of Technology,2016,578.0
1934,Ibaraki University,2016,578.0
1935,University of California Irvine,2017,578.0
1936,University of Maribor,2019,578.0
1937,San José State University,2019,578.0
1938,Purdue University - West Lafayette,2018,578.0
1939,Karlstad University,2015,577.0
1940,Villanova University,2017,577.0
1941,University of Kansas,2022,577.0
1942,Hochschule Heilbronn,2019,577.0
1943,Nagoya University,2009,576.0
1944,Hiroshima University,2012,576.0
1945,Monash University,2005,576.0
1946,Gadjah Mada University,2018,576.0
1947,Hochschule Mannheim,2015,576.0
1948,Centro Universitário Facens,2014,576.0
1949,Union College,1999,575.0
1950,Kanagawa Institute of Technology,2003,575.0
1951,Lancaster  University,2004,575.0
1952,University of Auckland,2007,575.0
1953,University of Victoria,2016,575.0
1954,École de Technologie Superieure,1995,575.0
1955,Texas A&amp;M University,2015,575.0
1956,McGill University,2009,575.0
1957,Queen's University Belfast,2001,574.0
1958,College of Science and Technology Nihon University,2011,574.0
1959,Université du Québec à Trois-Rivières,2003,574.0
1960,Massachusetts Institute of Technology,2012,574.0
1961,The University of Newcastle,2005,574.0
1962,Tokyo City University,2012,574.0
1963,National University of Singapore,2006,574.0
1964,Kasetsart University,2017,573.0
1965,Otto-von-Guericke-Universität Magdeburg,2018,573.0
1966,University of Adelaide,2008,573.0
1967,Nagoya Institute of Technology,2013,573.0
1968,Tokyo City University,2013,573.0
1969,Keio University,2011,572.0
1970,Queensland University of Technology,2006,572.0
1971,Chiba University,2008,571.0
1972,Smt. Kashibai Navale College of Engineering,2020,571.0
1973,University of Wales Trinity Saint David,2007,571.0
1974,Osaka University,2014,570.0
1975,The University of Akron,1994,570.0
1976,Università degli Studi della Tuscia,2011,570.0
1977,Yeungnam University College,2007,570.0
1978,Università degli Studi di Roma Tor Vergata,2013,570.0
1979,Hokkaido University,2012,569.0
1980,California State Polytechnic University - San Luis Obispo,2000,569.0
1981,Minnesota State University Mankato,2002,569.0
1982,University of North Florida,2022,569.0
1983,University of Texas at Austin,2005,569.0
1984,Queen's University Belfast,2018,569.0
1985,University of Manitoba,2012,569.0
1986,Toyohashi University of Technology,2008,569.0
1987,Universitatea Transilvania din Braşov,2022,569.0
1988,University of Louisville,2009,568.0
1989,California State University Sacramento,1996,568.0
1990,Saginaw Valley State University,2016,568.0
1991,University of Central Florida,2016,568.0
1992,Toyota Technical College Nagoya,2015,568.0
1993,Australian National University,2006,568.0
1994,Ecole Nationale d'Ingénieurs de Metz,2011,567.0
1995,Hope College,2018,567.0
1996,The University of Akron,2002,567.0
1997,National University of Singapore,2018,567.0
1998,West Virginia University,1994,566.0
1999,Osaka Institute of Technology,2015,566.0
2000,Institute of Technologists,2010,566.0
2001,Osaka Institute of Technology,2012,566.0
2002,Tokyo Denki University,2013,565.0
2003,K. J. Somaiya College of Engineering,2017,565.0
2004,West Virginia University,1995,565.0
2005,Technische Universität Braunschweig,2010,565.0
2006,Honda Technical College Kansai,2010,565.0
2007,University of Southern California,2018,564.0
2008,Kookmin University,2005,564.0
2009,North Carolina Agricultural and Technical State University,2000,564.0
2010,West Virginia University,1992,563.0
2011,Rensselaer Polytechnic Institute,2022,563.0
2012,Centro Federal de Educação Tecnológica de Minas Gerais,2014,563.0
2013,Utsunomiya University,2013,563.0
2014,Utsunomiya University,2016,563.0
2015,North Carolina State University,2009,563.0
2016,California State Polytechnic University Pomona,2022,562.0
2017,Université Laval,2012,562.0
2018,Indian Institute of Technology Madras,2019,562.0
2019,California State Polytechnic University - San Luis Obispo,2018,562.0
2020,Università degli Studi di Napoli Federico II,2018,562.0
2021,University of Hawaii at Manoa,2018,561.0
2022,Ryerson University,2017,561.0
2023,Ritsumeikan University,2017,561.0
2024,Fachhochschule Konstanz,2018,561.0
2025,Ritsumeikan University,2019,561.0
2026,Georgia Southern University,2013,561.0
2027,University of Rijeka,2018,561.0
2028,Ibaraki University,2017,561.0
2029,Fachhochschule Konstanz,2012,560.0
2030,The University of Newcastle,2015,560.0
2031,Osaka University,2007,560.0
2032,California State University Sacramento,2014,560.0
2033,University of Maryland,2016,559.0
2034,Michigan Technological University,2015,559.0
2035,University Of Hertfordshire,2014,559.0
2036,Manipal Academy of Higher Education,2019,559.0
2037,Rutgers The State University of New Jersey,2012,559.0
2038,University of Zagreb,2014,559.0
2039,University of Evansville,2009,559.0
2040,Dartmouth College,2000,559.0
2041,The University of Akron,1996,558.0
2042,University of Burgundy - ISAT,2010,558.0
2043,McGill University,1998,558.0
2044,University of Florida,2012,558.0
2045,Utsunomiya University,2003,557.0
2046,Missouri University of Science and Technology,2002,557.0
2047,TECNUN - University of Navarra,2017,557.0
2048,Białystok University of Technology,2013,557.0
2049,Aristotle University of Thessaloniki,2011,557.0
2050,Ulm University of Applied Sciences,2010,557.0
2051,Centro Federal de Educação Tecnológica de Minas Gerais,2017,556.0
2052,Duke University,2005,556.0
2053,Kobe University,2014,556.0
2054,Duke University,2007,556.0
2055,University of Nebraska–Lincoln,2017,556.0
2056,University of Illinois at Urbana-Champaign,1997,556.0
2057,University of Rijeka,2017,556.0
2058,Queen's University,1995,555.0
2059,Georgia Institute of Technology,2010,555.0
2060,National University of Singapore,2008,554.0
2061,Université du Québec à Trois-Rivières,2013,554.0
2062,Brunel University London,2014,554.0
2063,University of South Florida,2022,554.0
2064,University of Victoria,2013,554.0
2065,Osaka City University,2013,554.0
2066,Utsunomiya University,2012,554.0
2067,Rutgers The State University of New Jersey,2002,554.0
2068,Hochschule Heilbronn,2017,554.0
2069,Shizuoka University,2006,553.0
2070,University of Adelaide,2012,553.0
2071,Yokohama National University,2015,553.0
2072,Hubei University of Automotive Technology,2014,553.0
2073,University of Idaho,2008,553.0
2074,Doshisha University,2011,553.0
2075,Auburn University,2002,553.0
2076,University of Technology Sydney,2013,552.0
2077,University of Kansas,2001,552.0
2078,University of Connecticut,2014,552.0
2079,University of Southampton,2016,552.0
2080,Kansas State University,2014,552.0
2081,Florida Atlantic University,2016,552.0
2082,Queen's University,2005,551.0
2083,Wroclaw University of Technology,2014,551.0
2084,University of Minnesota Twin Cities,2014,551.0
2085,Edith Cowan University,2009,550.0
2086,University of Guelph,2015,550.0
2087,Villanova University,2018,550.0
2088,Hochschule RheinMain,2017,550.0
2089,Tokyo City University,2005,550.0
2090,Fachhochschule Stralsund,2013,550.0
2091,Hochschule RheinMain,2009,550.0
2092,Fachhochschule Stralsund,2018,549.0
2093,Osaka Institute of Technology,2017,549.0
2094,Sophia University,2019,549.0
2095,Hochschule Karlsruhe - Technik und Wirtschaft,2007,549.0
2096,Università del Salento,2012,549.0
2097,École Polytechnique de Montréal,2002,549.0
2098,UAS Würzburg-Schweinfurt,2007,549.0
2099,Kennesaw State University,2022,549.0
2100,École Polytechnique de Montréal,2010,548.0
2101,Brown University,2005,548.0
2102,University of Hartford,1995,548.0
2103,Waseda University,2017,548.0
2104,Queen's University Belfast,2004,548.0
2105,Universidad Europea de Madrid,2015,548.0
2106,Purdue University - West Lafayette,2013,547.0
2107,Moscow Polytechnic University,2013,547.0
2108,Fachhochschule Osnabrück,2009,547.0
2109,Kyoto University,2005,547.0
2110,Technische Universität Dresden,2011,547.0
2111,San José State University,2009,547.0
2112,Technische Universität Darmstadt,2006,547.0
2113,Toyohashi University of Technology,2009,547.0
2114,University of Tasmania,2001,546.0
2115,University of New South Wales - Australian Defence Force Academy,2017,546.0
2116,Wichita State University,2013,546.0
2117,Université de Sherbrooke,2017,546.0
2118,Università degli Studi di Roma Tor Vergata,2016,546.0
2119,Ruhr-Universität Bochum,2019,545.0
2120,University of Sydney,2012,545.0
2121,Brunel University London,2008,545.0
2122,UAS Kempten,2017,545.0
2123,Hochschule Heilbronn,2016,545.0
2124,Coventry University,2005,545.0
2125,Universidade Paulista,2007,545.0
2126,Georgia Southern University,2010,545.0
2127,Rheinisch-Westfälische Technische Hochschule Aachen,2011,544.0
2128,University of Sydney,2018,544.0
2129,University of Sydney,2007,544.0
2130,California State University Northridge,1998,544.0
2131,Florida Atlantic University,2015,544.0
2132,Politecnico di Torino,2005,543.0
2133,Osaka Sangyo University,2013,543.0
2134,University of Maryland,2007,543.0
2135,Shizuoka Institute of Science and Technology,2015,542.0
2136,Clemson University,2012,542.0
2137,Rzeszów University of Technology,2015,542.0
2138,University of Texas at Austin,2010,542.0
2139,University of Florida,2019,542.0
2140,Università della Calabria,2018,541.0
2141,Auburn University,2008,541.0
2142,Osaka City University,2014,541.0
2143,Concordia University,2013,541.0
2144,Saitama University,2019,540.0
2145,University of Washington,2002,540.0
2146,Drexel University,2022,540.0
2147,University of Maryland,2018,540.0
2148,Missouri University of Science and Technology,1997,540.0
