Rank,University,Points
668,RMD Sinhgad School of Engineering,136.0
669,Leibniz Universität Hannover,135.25
670,Universidad Interamericana de Puerto Rico,135.0
671,University of Cadiz,134.67
672,Peoples' Friendship University of Russia,133.25
673,James Cook University,133.0
674,Cairo University,132.83
675,Western Sydney University,132.5
676,Indian Institute of Technology Dhanbad,132.0
677,Loyola Marymount University,132.0
678,Kochi University of Technology,131.5
679,Brandenburgische Technische Universität Cottbus,131.14
680,Universidade Federal de Santa Catarina,130.57
681,Birla Institute of Technology & Science  Pilani,130.0
682,Ramaiah Institute of Technology,130.0
683,University of Exeter,129.29
684,Bhartiya Institute of Engineering and Technology,129.0
685,Ceylon-German Technical Training Institute,129.0
686,University College London,128.86
687,University of Salford,128.67
688,Polytechnic University of Puerto Rico,128.33
689,Instituto Superior de Engenharia de Coimbra,128.0
690,PES Institute of Technology,127.0
691,Technical University of Sofia,126.5
692,Universidad Politécnica de Cartagena,126.25
693,Universidade Estadual Paulista - Guaratinguetá,126.22
694,Setsunan University,126.1
695,Helwan University (‏جامعة حلوان),126.0
696,Kunsan National University,126.0
697,Liaoning University of Technology,126.0
698,The National Institute of Engineering Mysore,126.0
699,National Institute of Technology - Rourkela,125.5
700,Middle Tennessee State University,125.25
701,Sri Venkateswara College of Engineering,125.25
702,Cherepovets State University,125.0
703,City University London,125.0
704,Shizuoka Professional College of Automobile Technology,124.83
705,University of Southern Queensland,124.8
706,Southern Taiwan University of Technology,124.67
707,Kakatiya Institute of Technology and Science Warangal,124.0
708,MCT's Rajiv Gandhi Institute of Technology,124.0
709,University of Derby,124.0
710,Hacettepe University,123.0
711,Indian Institute of Technology Delhi,122.25
712,University of Brighton,122.0
713,École nationale d'aérotechnique,122.0
714,Gheorghe Asachi Technical University of Iaşi,121.0
715,University of California Riverside,121.0
716,Universidade Federal da Bahia,120.83
717,Universidad Católica Andrés Bello,120.5
718,Veer Surendra Sai University of Technology,120.5
719,Universidad de Castilla-La Mancha,120.33
720,Aso College of Automotive Engineering and Technology,119.8
721,University of Stavanger,119.5
722,Federation University Australia,119.33
723,Universitat Jaume I,119.29
724,Sojo University,119.18
725,D.Y. Patil School of Engineering Academy Ambi,119.0
726,Istanbul Technical University,119.0
727,Universidade Federal De Lavras,118.0
728,University of Regina,117.67
729,Hindustan Institute of Technology and Science,117.0
730,Sinhgad College of Engineering Vadgaon,117.0
731,Universidade Federal de Itajubá - Itabira,117.0
732,Amity School of Engineering and Technology,116.0
733,Rajarshi Shahu College Of Engineering,116.0
734,Amrutvahini College Of Engineering Sangamner,114.0
735,Çukurova University,114.0
736,Moscow State Automobile & Road Technical University - MADI,113.5
737,Chitkara University Punjab,113.25
738,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,113.0
739,Lokmanya Tilak College of Engineering,113.0
740,Netaji Subhas Institute of Technology,113.0
741,Sinhgad Academy Of Engineering,113.0
742,Universidade Comunitária Regional de Chapecó,109.67
743,Universidad de Oriente Venezuela,109.25
744,University of Hull,108.88
745,Kalinga Institute of Industrial Technology,108.0
746,NBN Sinhgad School Of Engineering,108.0
747,London South Bank University,107.0
748,University of Toyama,107.0
749,Saint Louis University,106.43
750,Indira Gandhi Delhi Technical University for Women,106.0
751,Nizhny Novgorod State Technical University,106.0
752,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,105.0
753,Universidad de las Fuerzas Armadas - ESPE,104.33
754,University of Sunderland,103.79
755,Osaka Prefecture University,103.4
756,IMT Nord Europe - Douai,103.0
757,Universidad Tecnológica de Pereira,103.0
758,K L University,102.67
759,Guru Gobind Singh Indraprastha University,102.5
760,Universidade Federal de Campina Grande,102.5
761,MGM's Jawaharlal Nehru Engineering College,102.0
762,Peter the Great St. Petersburg Polytechnic University,102.0
763,Queen Mary University of London,101.0
764,HMR Institute of Technology & Management,100.0
765,Birla Institute of Science and Technology Pilani - Dubai,99.67
766,Ajou University,99.0
767,Kumaraguru College of Technology,99.0
768,DIT University,98.33
769,University of Massachusetts Lowell,98.12
770,Saraswati College of Engineering,98.0
771,M.H. Saboo Siddik College of Engineering,97.5
772,Escola de Engenharia de Lorena da Universidade de São Paulo,97.0
773,Rayat Institute of Engineering and Information Technology,93.0
774,Universidade Federal de Santa Catarina - Joinville,92.4
775,Odessa Polytechnic National State University,91.29
776,Madras Institute of Technology,91.0
777,Frederick University,90.0
778,Kyushu University,90.0
779,Universidade Federal de Sergipe,89.33
780,Alabama A&M University,89.0
781,University of Georgia,88.5
782,Akita Prefectural University,87.0
783,Thomas More Mechelen - De Nayer,87.0
784,University of Iowa,86.5
785,University of Leicester,86.0
786,Alexandria University,85.67
