Rank,University,Lowest Place,#
362,University of Yamanashi,37th,1
363,Drexel University,38th,1
364,Universidad de Castilla-La Mancha,38th,1
365,University of La Laguna,38th,1
366,University of Western Macedonia,38th,1
367,Universität der Bundeswehr München,38th,1
368,University of Liverpool,39th,1
369,University of Maryland,40th,1
370,National University of Sciences and Technology - Karachi,41st,1
371,Newcastle University,41st,1
372,Universidad Politecnica Salesiana,41st,1
373,Fachhochschule Stralsund,42nd,1
374,Shizuoka Professional College of Automobile Technology,42nd,1
375,The University of Hong Kong,42nd,1
376,Toronto Metropolitan University,42nd,1
377,University of Cincinnati,42nd,1
378,University of Huddersfield,42nd,1
379,University of North Carolina at Charlotte,42nd,1
380,South China Agricultural University,43rd,1
381,Ain Shams University,44th,1
382,De Montfort University,44th,1
383,University of Nevada - Reno,45th,1
384,University of Virginia,45th,1
385,University of West Bohemia,45th,1
386,Western Michigan University,45th,1
387,Yancheng Institute of Technology,45th,1
388,Toyota Technical College Nagoya,46th,1
389,King Mongkut's University of Technology Thonburi,47th,1
390,University of Oxford,47th,1
391,University of Southern California,48th,1
392,University of Victoria,48th,1
393,University of Fukui,49th,1
394,Taiyuan Institute of Technology,50th,1
395,University of York,50th,1
396,Cooper Union,52nd,1
397,Xi'an Vocational University Of Automobile,52nd,1
398,Central South University - Changsha,53rd,1
399,Chongqing University,53rd,1
400,University of California Santa Barbara,53rd,1
401,Louisiana State University,54th,1
402,Binghamton University,55th,1
403,Seikei University,55th,1
404,University of Guelph,55th,1
405,Daido Institute of Technology,56th,1
406,Wuhan Vocational College of Software and Engineering,58th,1
407,University of Windsor,59th,2
408,University of Nottingham Ningbo China,59th,1
409,Institute of Technologists,60th,1
410,Nissan Automobile Technical College Kyoto,61st,1
411,Nanjing University of Aeronautics and Astronautics,62nd,1
412,Tokyo University of Technology,62nd,1
413,Brigham Young University,63rd,1
414,Hangzhou Dianzi University,63rd,1
415,Pakistan Institute of Engineering & Applied Sciences,64th,1
416,Pakistan Institute of Engineering & Applied Sciences,64th,1
417,Illinois Institute of Technology,67th,1
418,Niigata Institute of Technology,68th,1
419,Kanagawa University,73rd,1
420,Kingston University,75th,1
421,Kyushu Institute of Technology,81st,1
422,Rajshahi University of Engineering & Technology,83rd,1
423,Rajshahi University of Engineering & Technology,83rd,1
424,University of Leicester,87th,1
425,University of Bristol,96th,1
426,ECAM LaSalle - Campus de Lyon,N/A,0
427,FH Münster,N/A,0
428,National Taiwan University of Science and Technology,N/A,0
429,Rhein-Waal University of Applied Sciences,N/A,0
430,Shangdong Jiaotong University,N/A,0
431,University of Alcalá,N/A,0
432,University of Miskolc,N/A,0
