uni,date,event,total
Università degli Studi di Roma La Sapienza,2017,Italy,236
Fachhochschule München,2021,Austria,235
Ostfalia University of Applied Sciences,2019,Netherlands,235
University of the Basque Country,2012,Spain,235
Hochschule Ruhr West - UAS,2018,Australia,235
Hochschule RheinMain,2021,Italy,235
RMIT University,2010,Australia,235
Hochschule RheinMain,2014,Spain,234
Technische Hochschule Ingolstadt,2021,Germany,234
Technische Universität Darmstadt,2013,United Kingdom,234
Technische Universität Wien,2017,Austria,234
Karlsruhe Institute of Technology,2010,Germany,233
Aristotle University of Thessaloniki,2021,Austria,233
Missouri University of Science and Technology,2018,Lincoln,233
Technische Universität Dresden,2015,Italy,232
Technische Universität Kaiserslautern,2012,Germany,232
Fachhochschule für Wirtschaft und Technik,2016,Italy,232
Deggendorf Institute of Technology,2012,Germany,232
Griffith University,2022,Australia,232
Technische Universität Kaiserslautern,2014,Spain,231
Hochschule für angewandte Wissenschaften Augsburg,2022,Austria,231
University of Iceland,2015,United Kingdom,231
Technische Universität Dresden,2015,Germany,230
RMIT University,2012,Australia,230
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2018,Spain,230
Universität Bayreuth,2014,Germany,230
Swinburne University of Technology,2018,Australia,230
Ostfalia University of Applied Sciences,2014,Germany,230
Technische Universität Kaiserslautern,2017,Spain,230
Politecnico di Torino,2015,Austria,230
Technische Universität Berlin,2010,Germany,229
Saarland University,2013,Italy,229
University of Seville,2021,Germany,229
Rheinisch-Westfälische Technische Hochschule Aachen,2010,Germany,229
Technische Hochschule Köln,2011,Germany,229
Technische Universität Hamburg,2014,Germany,228
Technische Universität Dresden,2011,Germany,228
Hochschule Aalen - Technik und Wirtschaft,2018,Austria,228
Technische Universität Hamburg,2017,East,227
Universität Siegen,2015,Spain,227
Technische Universität Kaiserslautern,2022,Spain,227
Università degli Studi di Trento,2022,Germany,227
University of Stavanger,2022,United Kingdom,227
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2015,United Kingdom,227
University of Patras,2022,East,227
Aristotle University of Thessaloniki,2022,Italy,227
Technische Universität Berlin,2022,Czech Republic,227
K. J. Somaiya College of Engineering,2022,Austria,226
University of Kansas,2017,Lincoln,226
Hochschule für Angewandte Wissenschaften Hof,2019,Italy,226
Technische Universität Berlin,2019,Czech Republic,226
Università degli Studi di Roma La Sapienza,2021,Italy,226
Hochschule Esslingen,2021,East,226
Leibniz Universität Hannover,2014,Spain,226
Wroclaw University of Technology,2022,Germany,226
Technische Hochschule Ingolstadt,2022,Germany,226
University of Manitoba,2022,Michigan,226
Technical University of Munich,2021,Austria,225
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2012,Spain,225
California State Polytechnic University - San Luis Obispo,2019,Lincoln,225
University of Ljubljana,2018,Italy,225
Technische Universität Bergakademie Freiberg,2016,Austria,224
Leibniz Universität Hannover,2015,Spain,224
Technische Hochschule Köln,2019,Spain,224
Universität Paderborn,2022,Germany,223
Cairo University,2019,United Kingdom,223
Deggendorf Institute of Technology,2022,Spain,223
Sardar Patel College of Engineering Mumbai,2022,India,223
Shizuoka Institute of Science and Technology,2015,Japan,223
McGill University,2017,Lincoln,223
Chalmers University of Technology,2019,Netherlands,223
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2017,Germany,222
AGH University of Science and Technology,2019,East,222
Universidade de Lisboa - Instituto Superior Técnico,2013,Germany,222
Technische Universität Wien,2015,Germany,222
Wroclaw University of Technology,2022,Alpe Adria,222
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2022,Netherlands,222
University of Iceland,2017,Italy,221
Fachhochschule München,2021,Netherlands,221
Technische Universität Clausthal,2012,Hungary,221
Fachhochschule Kiel,2019,East,221
Chalmers University of Technology,2019,Austria,221
KTH Royal Institute of Technology,2019,Italy,220
Rheinisch-Westfälische Technische Hochschule Aachen,2022,Austria,220
Technische Universität Bergakademie Freiberg,2016,Germany,219
UAS Kempten,2022,Germany,219
University of Seville,2021,Netherlands,219
Hochschule Pforzheim,2022,Germany,219
Hochschule Aalen - Technik und Wirtschaft,2016,Austria,218
University of Ljubljana,2022,Italy,218
Hochschule RheinMain,2012,Germany,217
TECNUN - University of Navarra,2021,Spain,217
Queensland University of Technology,2019,Australia,217
KU Leuven - Group T Campus,2016,United Kingdom,217
Universidade de Lisboa - Instituto Superior Técnico,2022,Austria,217
Queen's University Belfast,2022,United Kingdom,216
Technische Hochschule Köln,2015,Spain,216
University of Illinois at Urbana-Champaign,2018,Lincoln,216
University of the Basque Country,2016,United Kingdom,216
Technische Universität Kaiserslautern,2015,Spain,215
Budapest University of Technology and Economics,2019,East,214
Oxford Brookes University,2021,United Kingdom,214
Universidad Politécnica de Madrid (UPM),2022,East,214
TECNUN - University of Navarra,2022,Italy,214
Hochschule Esslingen,2013,Germany,213
Ostfalia University of Applied Sciences,2016,Italy,213
Ben-Gurion University of the Negev,2015,Italy,213
Fachhochschule München,2010,Germany,213
University of Southern Denmark,2022,United Kingdom,212
Hochschule Bonn-Rhein-Sieg,2014,Germany,212
Université Laval,2018,East,212
Hochschule RheinMain,2014,Germany,212
Fachhochschule für Wirtschaft und Technik,2018,Germany,212
Ryerson University,2022,Michigan,212
Hochschule Mannheim,2022,Germany,212
Leibniz Universität Hannover,2022,Netherlands,212
Technische Universität Darmstadt,2017,East,211
Technische Universität Darmstadt,2011,United Kingdom,211
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2015,Germany,211
Bern University of Applied Sciences,2022,Spain,211
Slovak University of Technology in Bratislava,2010,Germany,211
University of Queensland,2016,Australia,210
Hochschule Aalen - Technik und Wirtschaft,2017,Austria,210
University of New Mexico,2022,Michigan,210
Università degli Studi di Napoli Federico II,2021,Italy,210
Universität Bayreuth,2011,Germany,210
Technische Universität Kaiserslautern,2018,Germany,210
Fachhochschule Kiel,2018,Spain,210
Fachhochschule München,2021,Germany,210
Hochschule Aalen - Technik und Wirtschaft,2019,Austria,209
Fachhochschule für Wirtschaft und Technik,2019,Spain,209
University of Stavanger,2017,United Kingdom,209
Technische Universität Dresden,2012,United Kingdom,209
Ramaiah Institute of Technology,2022,India,209
Bern University of Applied Sciences,2017,Spain,209
Universidad Pontificia Comillas,2022,Italy,209
Politecnico di Torino,2021,Italy,209
Ostbayerische Technische Hochschule Regensburg,2019,Austria,208
University of Manitoba,2019,Canada,208
Universidad Politécnica de Madrid (UPM),2019,Spain,208
Università degli studi di Padova,2021,Austria,208
Technische Universität Chemnitz,2022,Czech Republic,208
Poznan University of Technology,2022,Spain,208
Helsinki Metropolia University of Applied Sciences,2022,Czech Republic,208
Slovak University of Technology in Bratislava,2014,Italy,208
Ostbayerische Technische Hochschule Regensburg,2022,Germany,207
TECNUN - University of Navarra,2019,Netherlands,207
Technische Universität Kaiserslautern,2014,Germany,207
Leopold-Franzens-Universität Innsbruck,2022,Netherlands,207
Università degli Studi di Parma,2019,Italy,207
Universidad Pontificia Comillas,2022,Spain,206
Politecnico di Milano,2021,Netherlands,206
Ostbayerische Technische Hochschule Regensburg,2021,Germany,206
Fachhochschule für Wirtschaft und Technik,2013,Germany,206
Fachhochschule München,2012,Austria,206
Hochschule Bonn-Rhein-Sieg,2018,Austria,206
Western Washington University,2022,Michigan,205
Czech Technical University in Prague,2013,Austria,205
Saarland University,2013,Germany,205
Linköping University,2022,East,205
Duale Hochschule Baden-Württemberg - Mannheim,2022,Austria,204
Ain Shams University,2019,United Kingdom,204
University of Patras,2022,Austria,204
Hochschule Esslingen,2019,Spain,204
Hochschule für Angewandte Wissenschaften Hof,2022,Spain,204
Karlsruhe Institute of Technology,2014,United Kingdom,203
K. J. Somaiya College of Engineering,2019,Germany,203
Hochschule für Angewandte Wissenschaften Hamburg,2022,Germany,203
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2022,Germany,203
Technische Universität Clausthal,2018,Germany,202
Universidade de Lisboa - Instituto Superior Técnico,2014,United Kingdom,202
Ostfalia University of Applied Sciences,2018,Germany,202
University of New South Wales,2022,Australia,202
Helsinki Metropolia University of Applied Sciences,2018,Spain,202
University of the Basque Country,2013,United Kingdom,202
Hochschule Niederrhein,2014,Italy,201
Technische Universität Graz,2011,United Kingdom,201
Universität Siegen,2022,Austria,201
University of Seville,2019,Spain,201
Cornell University,2022,Michigan,200
Technische Universität Chemnitz,2022,Germany,200
Slovak University of Technology in Bratislava,2019,Czech Republic,200
University of Technology Sydney,2015,Australia,200
Technische Universität Hamburg,2012,Germany,200
Technische Universität Darmstadt,2012,United Kingdom,200
Universität Siegen,2011,Germany,200
Technische Universität Braunschweig,2017,Germany,200
University of Patras,2013,Germany,200
TECNUN - University of Navarra,2013,Spain,200
Alma Mater Studiorum - Università di Bologna,2022,East,200
VIT University - Vellore,2018,Italy,200
Technische Universität Wien,2019,Austria,200
Universität Duisburg-Essen,2019,Czech Republic,199
Budapest University of Technology and Economics,2018,East,199
Fachhochschule für Wirtschaft und Technik,2022,Italy,199
University of Ljubljana,2018,East,199
Budapest University of Technology and Economics,2015,Hungary,199
Hochschule RheinMain,2022,Netherlands,198
UAS Kempten,2022,East,198
Technische Universität Braunschweig,2015,Czech Republic,198
Ostbayerische Technische Hochschule Regensburg,2013,United Kingdom,198
Universidad Politécnica de Madrid (UPM),2019,Germany,198
Hochschule RheinMain,2011,Germany,197
Technische Universität Darmstadt,2019,Austria,197
University of Applied Sciences Ravensburg-Weingarten,2022,Germany,197
KU Leuven - Group T Campus,2012,United Kingdom,197
Tohoku University,2019,Japan,197
The University of Michigan-Dearborn,2017,Lincoln,197
Georg-Simon-Ohm-Hochschule Nürnberg,2022,Germany,197
University of Surrey,2018,United Kingdom,197
University of Seville,2018,Spain,197
Technische Hochschule Köln,2017,Spain,196
Technische Universität Wien,2018,East,196
Technische Universität Kaiserslautern,2013,Germany,196
University of Minnesota Twin Cities,2022,Michigan,196
Tallinn TU UAS,2015,Spain,196
Leibniz Universität Hannover,2022,Spain,196
Escola d'Enginyeria de Barcelona Est. EEBE,2018,Spain,195
Indian Institute of Technology Roorkee,2015,Australia,195
Deggendorf Institute of Technology,2021,Austria,195
Hochschule RheinMain,2022,East,195
Escola d'Enginyeria de Barcelona Est. EEBE,2022,Spain,195
University of Queensland,2015,Australia,194
Universität Bayreuth,2017,Germany,194
KU Leuven - Group T Campus,2014,United Kingdom,194
Fachhochschule Kiel,2021,East,194
Fachhochschule für Wirtschaft und Technik,2021,Czech Republic,194
San José State University,2019,Lincoln,193
Olin College of Engineering,2019,Canada,193
Indian Institute of Technology Bombay,2013,United Kingdom,193
California State Polytechnic University - San Luis Obispo,2018,Lincoln,192
Fachhochschule Kiel,2015,United Kingdom,192
Universität Siegen,2019,Italy,192
UAS Würzburg-Schweinfurt,2019,Germany,192
University of Iceland,2016,United Kingdom,192
Fachhochschule Kiel,2017,Spain,192
San José State University,2017,Lincoln,192
Bern University of Applied Sciences,2021,Czech Republic,191
Fachhochschule für Wirtschaft und Technik,2022,Austria,191
Queensland University of Technology,2016,Australia,191
RMIT University,2022,Australia,191
K. J. Somaiya College of Engineering,2022,Germany,190
Technische Universität Ilmenau,2016,Germany,190
University of Southern Denmark,2014,United Kingdom,190
Karlstad University,2022,United Kingdom,190
San José State University,2018,Lincoln,190
Indian Institute of Technology Delhi,2019,Germany,189
École Polytechnique de Montréal,2019,Lincoln,189
Leibniz Universität Hannover,2017,Germany,189
Technische Universität Bergakademie Freiberg,2022,Germany,189
Otto-von-Guericke-Universität Magdeburg,2022,Czech Republic,189
Hochschule für Angewandte Wissenschaften Hof,2019,Netherlands,189
The University of Michigan-Dearborn,2019,Lincoln,189
Technische Universität Dresden,2014,Germany,189
University of Tasmania,2018,Australia,188
Leibniz Universität Hannover,2015,United Kingdom,188
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2019,Germany,188
Università degli Studi di Parma,2022,Netherlands,188
MCT's Rajiv Gandhi Institute of Technology,2022,India,188
TECNUN - University of Navarra,2019,Spain,188
Universität Kassel,2019,Germany,187
University of Wollongong,2018,Australia,187
University of Patras,2022,Czech Republic,187
Technische Universität Braunschweig,2014,Germany,187
Fachhochschule Konstanz,2022,East,187
Technische Universität Bergakademie Freiberg,2022,Netherlands,186
Ben-Gurion University of the Negev,2022,Germany,186
Virginia Polytechnic Institute and State University,2019,Lincoln,186
TECNUN - University of Navarra,2018,Spain,186
University of Southern Denmark,2017,United Kingdom,186
Leibniz Universität Hannover,2014,Germany,186
University of Zagreb,2019,Austria,186
Budapest University of Technology and Economics,2014,Germany,186
Lund University,2022,Alpe Adria,186
Thomas More Mechelen - De Nayer,2014,Spain,185
Università degli Studi di Roma La Sapienza,2016,Italy,185
Georg-Simon-Ohm-Hochschule Nürnberg,2021,Germany,185
Fachhochschule Konstanz,2021,Germany,185
Leibniz Universität Hannover,2017,Austria,184
Universidad Politécnica de Madrid (UPM),2013,Germany,184
Indian Institute of Technology Bombay,2018,United Kingdom,184
Université Laval,2015,Germany,184
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2015,Germany,184
PSG Institute of Technology and Applied Research,2022,India,184
Indian Institute of Technology Bombay,2015,United Kingdom,183
TECNUN - University of Navarra,2016,Spain,183
Budapest University of Technology and Economics,2012,United Kingdom,183
Politecnico di Torino,2022,Germany,183
Escola d'Enginyeria de Barcelona Est. EEBE,2022,Italy,183
University of Waterloo,2017,Lincoln,183
Tohoku University,2016,Japan,182
University of Sussex,2022,United Kingdom,182
University of Toronto,2022,Michigan,182
Slovak University of Technology in Bratislava,2011,United Kingdom,182
Technische Hochschule Ingolstadt,2022,Austria,182
Universität Duisburg-Essen,2018,Italy,182
University of British Columbia - Vancouver,2022,Michigan,182
Indian Institute of Technology Bombay,2016,United Kingdom,182
Hochschule Karlsruhe - Technik und Wirtschaft,2011,Germany,182
Technische Universität Hamburg,2015,Germany,182
Westsächsische Hochschule Zwickau,2017,Germany,181
Technische Universität Kaiserslautern,2012,Austria,181
Technische Universität Hamburg,2013,Germany,181
Czech Technical University in Prague,2014,Hungary,180
Hochschule für Angewandte Wissenschaften Hof,2017,Czech Republic,180
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2012,Germany,180
University of Iceland,2014,United Kingdom,180
TECNUN - University of Navarra,2014,Italy,180
Technische Universität Berlin,2019,Germany,180
Technische Universität Braunschweig,2019,Netherlands,180
Deggendorf Institute of Technology,2019,Spain,180
Universität Siegen,2022,Alpe Adria,180
University of Bath,2017,United Kingdom,180
Technische Universität Graz,2011,Austria,180
Indian Institute of Technology Bombay,2014,United Kingdom,180
Purdue University - West Lafayette,2019,Canada,179
Hochschule RheinMain,2022,Germany,179
University of Western Australia,2019,Australia,179
Kennesaw State University,2022,Michigan,178
Technische Universität Dresden,2014,United Kingdom,178
Université Laval,2022,Michigan,178
Beijing Institute of Technology,2015,Germany,178
University of Stavanger,2016,United Kingdom,178
Friedrich-Alexander-Universität Erlangen-Nürnberg,2022,Germany,177
University of California Berkeley,2022,Michigan,177
Hochschule für Angewandte Wissenschaften Hof,2016,Czech Republic,177
KU Leuven - Group T Campus,2021,Netherlands,177
University of Illinois at Urbana-Champaign,2022,Michigan,177
Leibniz Universität Hannover,2018,East,177
Duale Hochschule Baden-Württemberg Mosbach,2010,Germany,177
Universität Siegen,2021,Czech Republic,176
University of Nottingham,2022,United Kingdom,176
Technische Universität Braunschweig,2015,Spain,176
Fachhochschule Kiel,2019,Germany,176
Concordia University,2022,Michigan,176
Technische Universität Berlin,2022,Netherlands,176
Universität Siegen,2014,Germany,176
Universität Siegen,2013,Germany,176
University of Applied Sciences Ravensburg-Weingarten,2022,East,175
Universität Bremen,2019,Italy,175
Georg-Simon-Ohm-Hochschule Nürnberg,2018,Austria,174
Università degli Studi di Roma La Sapienza,2017,Spain,174
University of California Riverside,2019,Lincoln,174
Technische Universität Berlin,2019,East,174
Western University,2022,Michigan,174
North Carolina State University,2022,Michigan,174
Leibniz Universität Hannover,2018,Germany,174
Fachhochschule München,2011,Austria,173
Universidad Politécnica de Madrid (UPM),2022,Germany,173
Newcastle University,2017,United Kingdom,173
Technion - Israel Institute of Technology,2022,Spain,173
University of Seville,2019,Germany,172
Fachhochschule Konstanz,2022,Austria,172
Politecnico di Torino,2014,United Kingdom,172
Central South University - Changsha,2018,Japan,172
GFR DHBW Ravensburg &amp; Oregon State University,2019,Germany,172
Hochschule Mannheim,2018,East,172
Universität Bremen,2014,Germany,171
University of North Carolina at Asheville,2017,Lincoln,171
Guangdong University of Technology,2018,Japan,171
University College Dublin,2019,United Kingdom,171
Technical University of Munich,2014,United Kingdom,171
Duale Hochschule Baden-Württemberg - Mannheim,2019,Austria,171
Ostbayerische Technische Hochschule Regensburg,2011,Germany,171
University of Illinois at Urbana-Champaign,2017,Lincoln,170
Politecnico di Torino,2012,United Kingdom,170
Universität Bayreuth,2016,Germany,170
Universität Bremen,2013,Italy,170
Hochschule Landshut,2012,Germany,170
Fachhochschule Kiel,2019,Austria,170
Fachhochschule für Wirtschaft und Technik,2016,Spain,169
TECNUN - University of Navarra,2017,Italy,169
Moscow State Automobile &amp; Road Technical University - MADI,2016,Italy,169
Ruhr-Universität Bochum,2022,Germany,169
University of Birmingham,2022,United Kingdom,168
Escola d'Enginyeria de Barcelona Est. EEBE,2021,Italy,168
Hochschule Aalen - Technik und Wirtschaft,2018,Germany,168
Portland State University,2022,Michigan,168
Hochschule RheinMain,2013,Germany,168
Ostfalia University of Applied Sciences,2013,Germany,168
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2016,Germany,168
Technische Universität Darmstadt,2015,Germany,168
National Taiwan University,2022,Australia,168
Universität Bremen,2017,Italy,167
Fachhochschule Osnabrück,2011,Germany,167
Hochschule für angewandte Wissenschaften Augsburg,2017,Austria,167
Hochschule Landshut,2011,Germany,167
University of Southern Denmark,2018,United Kingdom,166
Technische Universität Chemnitz,2019,Germany,166
Ben-Gurion University of the Negev,2015,Czech Republic,166
Universidad Politécnica de Cartagena,2016,Spain,166
Universität Duisburg-Essen,2019,Italy,165
Leibniz Universität Hannover,2013,United Kingdom,165
Università degli Studi di Trento,2018,Spain,165
Technische Universität Ilmenau,2012,United Kingdom,165
Politecnico di Torino,2013,Germany,165
Moscow State Automobile &amp; Road Technical University - MADI,2014,Italy,165
Fachhochschule für Wirtschaft und Technik,2010,Germany,164
Swinburne University of Technology,2010,Australia,164
Duale Hochschule Baden-Württemberg - Mannheim,2019,Netherlands,164
Fachhochschule für Wirtschaft und Technik,2021,East,163
Iwate University,2017,Japan,163
Technische Hochschule Ostwestfalen-Lippe,2021,Czech Republic,163
Deggendorf Institute of Technology,2015,Germany,163
Technische Universität Braunschweig,2019,Germany,163
Université Laval,2018,Germany,163
University of Waterloo,2019,Canada,163
Ruhr-Universität Bochum,2022,Austria,162
University of Utah,2019,Lincoln,162
Fachhochschule Kiel,2018,Germany,161
Technische Universität Chemnitz,2021,Germany,161
Ben-Gurion University of the Negev,2016,Spain,161
KU Leuven - Group T Campus,2022,Netherlands,161
Hochschule für Technik und Wirtschaft Mittweida,2019,East,161
Technische Universität Wien,2014,United Kingdom,160
Technische Hochschule Ingolstadt,2017,Germany,160
Leibniz Universität Hannover,2016,Germany,159
Hochschule für angewandte Wissenschaften Augsburg,2016,Germany,159
Slovak University of Technology in Bratislava,2015,Hungary,159
Universität Kassel,2019,Italy,159
Technische Hochschule Ingolstadt,2018,Germany,159
Leibniz Universität Hannover,2012,United Kingdom,158
Technische Universität Ilmenau,2013,Germany,158
Slovak University of Technology in Bratislava,2016,Czech Republic,157
KTH Royal Institute of Technology,2011,Germany,157
Universidad Nacional Autónoma de México,2017,Lincoln,157
Ben-Gurion University of the Negev,2022,Alpe Adria,156
Lancaster  University,2022,United Kingdom,156
Technische Hochschule Köln,2016,Germany,155
Aristotle University of Thessaloniki,2017,Germany,155
Democritus University of Thrace,2022,Alpe Adria,155
University of Iceland,2019,Italy,155
Bern University of Applied Sciences,2017,Austria,155
Technische Universität Ilmenau,2021,Netherlands,155
Georg-Simon-Ohm-Hochschule Nürnberg,2013,Italy,155
TECNUN - University of Navarra,2017,Spain,155
Hochschule Esslingen,2022,Germany,155
Duale Hochschule Baden-Württemberg - Mannheim,2019,Italy,154
Coventry University,2015,United Kingdom,154
Kanagawa University,2017,Japan,154
Harbin Institute of Technology at Weihai,2016,Japan,154
Zürcher Hochschule für Angewandte Wissenschaften,2022,Alpe Adria,154
University of Warwick,2022,United Kingdom,154
Thomas More Mechelen - De Nayer,2012,Germany,154
California Institute of Technology,2019,Lincoln,153
Universität Bremen,2016,Spain,153
Fachhochschule Osnabrück,2013,Germany,153
Kookmin University,2018,Lincoln,153
Universität Kassel,2021,Netherlands,153
Technische Hochschule Köln,2018,Germany,152
University of California Davis,2018,Lincoln,152
Yıldız Technical University,2022,Czech Republic,152
Technische Universität Berlin,2021,Germany,152
Technische Universität Braunschweig,2022,Germany,151
VIT University - Chennai,2016,Australia,151
KTH Royal Institute of Technology,2013,Austria,151
Università degli Studi di Napoli Federico II,2019,Italy,151
AGH University of Science and Technology,2019,Spain,151
University of Belgrade (Универзитет у Београду),2022,East,150
Università degli Studi di Trento,2021,Italy,150
KTH Royal Institute of Technology,2012,Germany,150
Universität Bayreuth,2016,Austria,150
Ben-Gurion University of the Negev,2019,Italy,149
Olin College of Engineering,2017,Lincoln,149
Università degli studi di Padova,2016,Germany,149
Technische Universität Braunschweig,2016,United Kingdom,149
Technische Hochschule Köln,2010,Germany,149
University of Patras,2017,Germany,149
KTH Royal Institute of Technology,2017,United Kingdom,149
Technische Universität Ilmenau,2021,Germany,149
University of Iceland,2019,Spain,148
Czech Technical University in Prague,2019,Italy,148
Shizuoka Institute of Science and Technology,2016,Japan,148
Escola d'Enginyeria de Barcelona Est. EEBE,2019,Spain,148
ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),2017,Italy,147
Toyota Technical College Nagoya,2017,Japan,147
Slovak University of Technology in Bratislava,2018,East,147
Georg-Simon-Ohm-Hochschule Nürnberg,2016,Germany,147
Bern University of Applied Sciences,2019,Spain,147
Yıldız Technical University,2021,Czech Republic,146
Fachhochschule Osnabrück,2018,Spain,146
Hochschule für angewandte Wissenschaften Augsburg,2017,Germany,146
Istanbul Technical University,2022,Czech Republic,146
Poznan University of Technology,2022,East,146
Universität Bremen,2018,Germany,146
Technische Hochschule Köln,2019,Austria,146
Università degli Studi di Roma La Sapienza,2018,Italy,146
Technische Universität Berlin,2021,Netherlands,145
San Diego State University,2019,Lincoln,145
University of Texas at Austin,2018,Lincoln,145
Olin College of Engineering,2022,Michigan,145
Università degli Studi di Roma La Sapienza,2018,Spain,145
Technische Hochschule Ingolstadt,2017,Austria,145
University of Melbourne,2022,Australia,144
McMaster University,2022,Michigan,144
Hochschule Darmstadt UAS,2012,Italy,144
Università degli Studi di Roma La Sapienza,2014,Spain,144
Universität Duisburg-Essen,2022,Italy,143
Imperial College London,2019,United Kingdom,143
Hochschule Landshut,2014,Germany,143
Kanagawa Institute of Technology,2013,Italy,143
Technische Hochschule Ingolstadt,2021,Austria,142
Hochschule Ruhr West - UAS,2017,Italy,142
Imperial College London,2015,United Kingdom,141
TECNUN - University of Navarra,2021,Netherlands,141
Technische Universität Hamburg,2015,United Kingdom,140
University of South Australia,2019,Australia,139
Universidad de Oviedo,2016,Spain,139
Thomas More Mechelen - De Nayer,2014,United Kingdom,139
Lancaster  University,2019,United Kingdom,139
Fachhochschule für Wirtschaft und Technik,2017,Germany,138
Technische Universität Braunschweig,2022,East,138
Escola d'Enginyeria de Barcelona Est. EEBE,2015,Spain,138
Fachhochschule Konstanz,2021,Austria,137
Fachhochschule Kiel,2015,Germany,137
University of Stavanger,2019,United Kingdom,136
University of Ontario Institute of Technology,2022,Michigan,136
Technische Hochschule Ingolstadt,2015,Germany,136
Belgorod state technological university named after V. G. Shukhov,2019,Czech Republic,136
University of Southern Denmark,2019,United Kingdom,136
University of California Davis,2022,Michigan,136
University of Texas at Austin,2017,Lincoln,136
Kennesaw State University,2019,Lincoln,135
Università degli Studi di Trento,2017,Italy,135
Universität Duisburg-Essen,2021,Italy,135
Indian Institute of Technology Delhi,2017,Germany,135
Technische Universität Clausthal,2017,Austria,135
University of Iowa,2019,Canada,134
Texas A&amp;M University,2022,Michigan,134
Saarland University,2017,East,134
Hochschule RheinMain,2015,Germany,134
Deggendorf Institute of Technology,2021,Netherlands,133
Universidad Politecnica Salesiana,2017,United Kingdom,133
Technische Universität Clausthal,2011,Germany,133
Manchester Metropolitan University,2011,United Kingdom,133
R.V.College of Engineering,2015,Italy,132
Universität Duisburg-Essen,2015,Italy,132
Hochschule Aalen - Technik und Wirtschaft,2015,Germany,132
ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),2018,Italy,131
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2022,Germany,131
Fachhochschule für Wirtschaft und Technik,2022,Germany,131
Georg-Simon-Ohm-Hochschule Nürnberg,2021,Netherlands,131
Leibniz Universität Hannover,2011,Germany,131
SRM Institute of Science and Technology - Kattankulathur,2015,Italy,131
Liverpool John Moores University,2022,United Kingdom,131
École Polytechnique Fédérale de Lausanne,2019,Spain,130
Technische Universität Braunschweig,2016,Germany,130
Moscow State Automobile &amp; Road Technical University - MADI,2017,East,130
Universität Kassel,2022,Czech Republic,130
Purdue University - West Lafayette,2022,Michigan,130
University of Warwick,2019,United Kingdom,129
Hochschule Aalen - Technik und Wirtschaft,2013,Italy,129
Universidad Politécnica de Madrid (UPM),2012,United Kingdom,129
Helsinki Metropolia University of Applied Sciences,2022,Germany,129
Universität Duisburg-Essen,2016,East,128
KTH Royal Institute of Technology,2018,United Kingdom,128
Instituto Superior de Engenharia de Lisboa,2022,Spain,128
King Mongkut's University of Technology Thonburi,2017,Japan,127
San Diego State University,2017,Lincoln,127
University of Ljubljana,2022,East,127
École Polytechnique Fédérale de Lausanne,2021,Germany,126
Technische Universität Graz,2021,Italy,126
University of Ljubljana,2022,Austria,126
Kingston University,2016,United Kingdom,126
TECNUN - University of Navarra,2015,Spain,125
Indian Institute of Technology Bombay,2012,United Kingdom,125
University of Stavanger,2015,United Kingdom,125
Hochschule Darmstadt UAS,2013,Germany,124
California Institute of Technology,2018,Lincoln,124
Instituto Superior de Engenharia de Lisboa,2018,Spain,123
University of Western Australia,2013,Australia,122
AGH University of Science and Technology,2018,East,122
University of Ontario Institute of Technology,2019,Canada,122
Università degli studi di Trieste,2022,Italy,121
University of Colorado - Colorado Springs,2022,Michigan,121
Universität Duisburg-Essen,2013,Germany,121
Technische Universität Hamburg,2012,United Kingdom,121
Universität Duisburg-Essen,2022,Spain,121
Universidad Politécnica de Cartagena,2015,Spain,121
Technische Universität Chemnitz,2018,Germany,121
Technische Universität Clausthal,2019,Austria,121
Slovak University of Technology in Bratislava,2017,East,120
Hochschule Esslingen,2015,Germany,120
Technische Universität Dortmund,2022,Netherlands,120
Toyota Technical College Nagoya,2015,Japan,120
Pakistan Institute of Engineering &amp; Applied Sciences,2018,United Kingdom,120
University of Texas at San Antonio,2018,Lincoln,119
Universität der Bundeswehr München,2014,Germany,119
University of Utah,2017,Lincoln,119
California Baptist University,2022,Michigan,117
Technische Universität Dortmund,2022,Germany,117
Ghent University,2022,Austria,117
University of Iceland,2018,Spain,116
Harbin Institute of Technology at Weihai,2014,Japan,116
Technische Universität Kaiserslautern,2015,Germany,116
University of Surrey,2017,United Kingdom,115
Hochschule Aalen - Technik und Wirtschaft,2016,Germany,115
